kingdom,phylum,ERR1341804,ERR1341803
Archaea,Crenarchaeota,6,1
Archaea,Euryarchaeota,761,1670
Archaea,Parvarchaeota,5,22
Bacteria,Acidobacteria,39,18
Bacteria,Actinobacteria,198,673
Bacteria,Armatimonadetes,12,3
Bacteria,Bacteroidetes,2672,13487
Bacteria,Caldithrix,0,1
Bacteria,Chlamydiae,2,0
Bacteria,Chlorobi,102,11
Bacteria,Chloroflexi,856,139
Bacteria,Cyanobacteria,174,27
Bacteria,Deferribacteres,24,0
Bacteria,Fibrobacteres,14,238
Bacteria,Firmicutes,856,3998
Bacteria,Fusobacteria,3,261
Bacteria,Gemmatimonadetes,51,3
Bacteria,Lentisphaerae,66,152
Bacteria,Planctomycetes,96,73
Bacteria,Proteobacteria,6788,6803
Bacteria,Spirochaetes,294,3030
Bacteria,Synergistetes,272,98
Bacteria,Tenericutes,26,2327
Bacteria,Thermi,80,1
Bacteria,Thermotogae,66,39
Bacteria,Verrucomicrobia,309,157
