sample_id,dropped_analysis_id
ERS1107870,ERR1352951
ERS1107871,ERR1352954
ERS1107872,ERR1352955
ERS1107873,ERR1352958
ERS1107874,ERR1352960
ERS1107875,ERR1352961
ERS1107846,ERR1352904
ERS1107847,ERR1352905
ERS1107848,ERR1352907
ERS1107849,ERR1352910
ERS1107860,ERR1352931
ERS1107861,ERR1352933
ERS1107862,ERR1352936
ERS1107863,ERR1352938
ERS1107864,ERR1352939
ERS1107865,ERR1352941
ERS1107866,ERR1352944
ERS1107867,ERR1352945
ERS1107850,ERR1352911
ERS1107851,ERR1352914
ERS1107858,ERR1352927
ERS1107859,ERR1352930
ERS1107868,ERR1352948
ERS1107869,ERR1352949
ERS1107852,ERR1352915
ERS1107853,ERR1352917
ERS1107854,ERR1352919
ERS1107855,ERR1352922
ERS1107856,ERR1352923
ERS1107857,ERR1352926
