kingdom,phylum,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,2,3,5,7,5,5,9,42,37,25,0,0,0,0,0,0,0,8,11,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,0,0,0,1,0,0,0
Archaea,Euryarchaeota,43,44,24,70,41,49,16,21,14,16,1303,1431,1195,926,1418,860,974,799,644,551,20,7,14,29,15,53,22,1969,2122,2842,2576,14,5,2,14,11,23,53,50,51,53,15,29,23,37,30,38,21,52,84,79,0,0,11,11,10,21,16,30,37,980,527,33,28,41,45,85,78,75,105
Archaea,Parvarchaeota,1,0,0,1,1,1,2,3,3,6,14,29,16,23,18,12,15,20,29,16,1,1,1,0,1,1,0,9,11,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,27,0,0,0,0,0,0,1,0
Bacteria,Acidobacteria,358,61,160,422,384,415,711,884,752,982,260,249,261,152,283,258,263,149,127,133,1252,1147,1291,1464,1266,2525,2179,194,190,316,260,9,31,67,57,53,54,35,87,40,43,6,23,43,66,30,42,36,20,114,26,57,24,569,588,62,71,442,430,148,276,135,37,48,68,3058,121,87,95,112
Bacteria,Actinobacteria,2498,1456,902,2675,1883,1768,2976,3429,3262,2905,1030,1049,970,739,1198,1261,1580,428,445,548,1395,2173,2791,2041,1795,3426,2324,450,530,732,684,2098,2728,1463,1316,2499,3558,1628,2274,1631,1807,2653,3594,2523,2187,3599,2178,3390,2937,2316,1836,178,286,1212,1275,396,425,1097,990,1237,1301,420,905,1126,1562,2302,2402,1063,1788,2476
Bacteria,Armatimonadetes,33,25,22,47,47,55,83,114,93,90,155,139,147,81,181,115,146,52,52,44,71,47,63,64,65,101,102,197,213,244,271,4,12,22,12,17,11,12,13,10,24,13,13,12,31,26,8,10,10,11,14,0,19,69,92,6,9,37,37,18,108,43,28,20,51,86,20,16,20,13
Bacteria,Bacteroidetes,5988,14306,1223,7263,7635,8946,5596,6256,5625,7917,4794,4219,4648,3658,5277,11950,11958,13044,10663,10777,7287,6765,7111,8240,4193,7315,6733,4035,4052,5613,4876,2871,4692,5618,5592,5227,5856,5671,6828,6137,6662,2776,1980,4836,5527,5235,3506,4511,5050,5789,4892,564,1152,1258,1311,894,1186,1192,1315,1261,13611,10221,11247,10111,19083,7852,13577,12861,15084,13716
Bacteria,Caldiserica,4,5,0,6,0,5,4,0,2,1,116,89,88,81,149,30,59,62,45,28,2,0,0,0,1,2,0,76,93,114,116,0,0,0,0,0,0,1,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,4,1,3,0,1,1,1,3
Bacteria,Caldithrix,0,0,0,2,1,2,1,6,6,1,276,272,254,175,338,151,169,68,55,48,6,3,6,5,2,4,4,113,116,148,142,0,0,0,3,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,151,62,1,2,0,8,0,0,3,1
Bacteria,Chlamydiae,3,0,30,3,2,1,5,2,3,5,6,4,5,5,5,1,3,3,3,1,16,11,13,17,11,24,13,3,7,1,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,36,65,11,39,37,39,36,17,27,3,5,1,0,2,19,3,2,2,4
Bacteria,Chlorobi,152,26,50,157,152,111,267,254,265,312,145,145,145,89,183,119,134,128,139,97,159,203,214,258,144,316,270,323,246,500,359,9,3,14,27,17,34,14,12,57,71,1,8,26,23,15,16,14,17,48,78,0,1,58,86,20,48,44,45,64,137,90,16,28,28,273,46,26,37,40
Bacteria,Chloroflexi,413,93,234,489,416,455,970,1204,948,1273,4278,3542,4048,2542,4989,2505,3664,3920,3078,2440,789,834,876,1024,633,1166,1246,3870,3893,6236,5093,19,50,62,61,63,118,21,66,40,26,27,30,46,109,103,93,74,52,14,54,19,57,588,526,66,89,458,338,251,2678,2650,64,60,86,1528,63,55,88,72
Bacteria,Cyanobacteria,41,35,107,37,66,92,67,69,60,74,8,10,8,8,13,15,22,18,12,8,60,57,62,62,23,48,62,15,7,24,28,10,13,15,29,19,30,16,24,29,18,25,12,56,37,19,24,16,14,6,9,149,179,100,51,88,109,66,64,87,35,12,21,22,46,81,59,75,55,67
Bacteria,Deferribacteres,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Bacteria,Dictyoglomi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Elusimicrobia,39,8,14,44,30,37,47,61,37,78,6,7,7,7,15,3,4,6,1,2,31,33,29,30,17,57,47,3,2,7,3,0,0,0,4,4,0,1,6,2,1,0,0,2,3,0,6,0,0,0,11,22,89,3,2,42,38,0,3,32,5,4,4,5,11,57,6,4,2,11
Bacteria,Fibrobacteres,8,29,16,2,11,14,9,14,7,23,19,24,20,48,29,10,9,7,33,16,8,2,6,3,0,4,6,15,12,25,15,2,4,40,52,31,39,20,37,25,37,0,6,25,30,36,18,14,5,15,6,0,1,0,2,6,4,0,3,12,18,26,20,18,66,14,21,24,19,21
Bacteria,Firmicutes,10001,18104,600,11437,10705,12717,786,845,726,1085,6086,5865,5527,4916,6065,3604,4678,3742,3235,5662,2006,1750,1740,2230,1053,2178,2012,2552,2627,3918,3427,17804,21973,10793,11443,16605,21764,13877,15713,13037,14320,23694,25414,16067,15077,25949,15417,21820,21097,17597,15822,352,525,800,944,434,464,631,647,751,4295,3087,12755,14897,24769,2722,32371,21680,28344,32507
