kingdom,phylum,ERR1467143,ERR1467146,ERR1467154,ERR1470829,ERR1512985,ERR1512995,ERR1513004,ERR1513005,ERR1513006,ERR1525434,ERR1525436,ERR1525439,ERR1525446,ERR1467152,ERR1470825,ERR1470827,ERR1470830,ERR1512988,ERR1512993,ERR1514429,ERR1525437,ERR1525438,ERR1525440,ERR1525444,ERR1512987,ERR1512998,ERR1467142,ERR1467148,ERR1467149,ERR1512984,ERR1514428,ERR1525443,ERR1467150,ERR1470824,ERR1514430,ERR1525445,ERR1512997,ERR1514427,ERR1467144,ERR1467145,ERR1467151,ERR1470822,ERR1470828,ERR1513003,ERR1512986,ERR1512994,ERR1513007,ERR1525441,ERR1525442,ERR1467147,ERR1467153,ERR1470826,ERR1470823,ERR1467141,ERR1512996,ERR1513002,ERR1512989,ERR1512990,ERR1512991,ERR1512992,ERR1512999,ERR1513000,ERR1513001,ERR1525435
Archaea,Euryarchaeota,3,1,3,3,6,3,5,8,3,1,1,13,3,1,7,10,7,27,4,3,0,6,4,0,0,1,3,2,4,3,9,1,7,6,1,5,5,8,7,4,3,2,5,1,1,3,6,4,1,3,5,5,6,11,4,14,0,3,6,5,0,0,0,0
Archaea,Parvarchaeota,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,2,0,0,0,1,0,1,0,1,0,0,2,1,1,1,0,0,3,1,0,0,0,3,0,0,3,0,1,0,0,0,0,1,1,4,3,1,1,0,0,0,1,2,0,2,0,8,0,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,1
Bacteria,Actinobacteria,110,75,83,63,67,23,93,155,98,21,56,28,50,218,102,92,110,24,120,143,9,41,97,37,73,48,120,88,153,125,103,78,78,100,29,68,98,144,109,233,106,202,60,33,62,48,80,19,23,162,82,178,181,54,42,87,0,59,44,50,0,0,0,20
Bacteria,Armatimonadetes,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0
Bacteria,Bacteroidetes,564,298,114,389,288,149,340,303,352,117,218,252,365,220,331,1127,695,505,239,298,193,244,238,633,266,195,211,401,421,245,315,1015,378,411,1700,658,226,205,330,244,336,332,565,234,399,323,252,129,176,356,174,326,330,643,273,478,1,266,328,262,0,0,0,167
Bacteria,Caldiserica,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
Bacteria,Caldithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlamydiae,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria,Chlorobi,0,0,1,1,1,0,0,0,1,0,2,3,0,0,0,0,0,11,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
