kingdom,phylum,ERR1713331,ERR1713332,ERR1725942,ERR1725946,ERR1725948,ERR1725949,ERR1725950,ERR1725952,ERR1713339,ERR1713340,ERR1725960,ERR1713342,ERR1725963,ERR1713344,ERR1725965,ERR1713346,ERR1725966,ERR1725968,ERR1713349,ERR1713350,ERR1713351,ERR1713352,ERR1713353,ERR1725971,ERR1713355,ERR1713356,ERR1713357,ERR1713358,ERR1713359,ERR1725977,ERR1713361,ERR1713362,ERR1725979,ERR1713364,ERR1713365,ERR1725984,ERR1713367,ERR1713368,ERR1725985,ERR1713370,ERR1713371,ERR1713372,ERR1713373,ERR1725988,ERR1725991,ERR1713376,ERR1725995,ERR1713378,ERR1725998,ERR1713380,ERR1713381,ERR1713382,ERR1713383,ERR1713384,ERR1713385,ERR1713386,ERR1726001,ERR1713388,ERR1713389,ERR1726004,ERR1713391,ERR1726006,ERR1726007,ERR1713394,ERR1713395,ERR1713396,ERR1713397,ERR1713398,ERR1726013,ERR1713400,ERR1726017,ERR1713402,ERR1713403,ERR1726026,ERR1713405,ERR1713406,ERR1713407,ERR1713408,ERR1713409,ERR1713410,ERR1726032
Archaea,Crenarchaeota,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,481,12,162,16,5,17,323,20,8,14,8,400,9,295,78,523,33,6,169,273,23,16,229,39,310,47,10,1235,195,11,36,245,25,53,12,309,82,60,248,650,39,47,49,80,23,26,2,604,234,7,958,18,247,209,134,398,14,103,45,98,38,18,2,110,2,17,807,158,90,132,86,70,105,5,318,109,11,149,146,384,99
Archaea,Parvarchaeota,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,7,8,28,29,3,1,306,0,5,10,4,28,3,802,1,22,3,4,21,37,12,7,25,10,18,22,3,216,6,0,17,326,3,8,12,3,164,20,16,302,3,19,6,13,4,4,1,23,147,29,11,19,23,32,13,9,7,10,22,4,12,3,2,18,5,1,190,13,9,11,2,11,2,7,36,67,10,11,4,28,42
Bacteria,Actinobacteria,1916,275,3248,403,152,89,1016,195,87,89,228,4647,200,656,323,1266,478,324,1465,3286,471,305,1074,1179,3523,1254,88,1066,824,131,159,3599,874,287,369,911,897,902,1473,1672,442,1322,420,852,270,377,439,1756,420,557,11148,624,1372,3202,791,2296,69,1101,926,250,438,517,15,821,485,247,1604,2135,1401,1261,716,1006,514,115,2469,2778,145,1239,1604,1152,876
Bacteria,Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,0,0,6,3,0,0,13,0,1,3,3,3,0,43,2,0,2,0,5,6,0,0,1,2,1,3,0,47,0,0,1,6,1,1,5,0,31,4,0,4,2,4,6,1,4,5,0,2,15,2,0,2,6,9,0,2,11,1,3,0,2,2,0,27,0,0,11,1,0,3,1,0,1,1,9,4,3,2,1,3,1
Bacteria,Bacteroidetes,4907,4309,2909,1759,3733,229,7806,95,407,249,702,3391,885,12886,864,2074,2989,257,8578,9702,1228,74021,1742,673,2142,4437,10794,10457,368,616,516,19509,5385,9339,11620,405,23133,22329,2943,595,945,5953,2644,5343,2168,7043,418,1474,4772,19427,3781,43854,2682,9482,5284,1708,532,3540,7652,510,1249,3867,126,45078,25509,3283,3127,2626,1596,1708,867,1746,278,190,10828,2012,17679,4021,879,2858,2711
Bacteria,Caldiserica,0,0,1,0,0,0,15,0,0,3,0,16,1,13,2,0,1,0,13,1,0,0,0,0,3,1,0,20,2,0,6,10,0,0,0,0,3,5,0,400,2,0,3,0,0,0,0,5,19,0,0,2,25,16,1,0,19,0,0,0,0,0,0,17,1,2,2,3,0,0,0,3,26,0,3,1,5,0,0,7,0
Bacteria,Caldithrix,0,0,0,0,0,0,2,0,0,0,0,3,0,6,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
