Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,bryantii,Methanobacterium_bryantii,0,0,0,3,1,2
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,arboriphilus,Methanobrevibacter_arboriphilus,0,0,0,1,0,0
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,thermautotrophicus,Methanothermobacter_thermautotrophicus,1,0,0,2,2,1
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,mazei,Methanosarcina_mazei,0,0,0,15,15,11
Bacteria,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,modestum,Edaphobacter_modestum,0,0,0,2,0,0
Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,CandidatusMicrothrix,parvicella,CandidatusMicrothrix_parvicella,35,34,94,6913,6207,5775
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,hyovaginalis,Actinomyces_hyovaginalis,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Bogoriella,caseolytica,Bogoriella_caseolytica,0,0,0,1,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Salana,multivorans,Salana_multivorans,0,0,0,11,13,11
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Serinibacter,salmoneus,Serinibacter_salmoneus,0,0,0,0,2,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,casei,Brevibacterium_casei,0,0,0,1,2,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,paucivorans,Brevibacterium_paucivorans,0,0,0,4,4,5
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,uda,Cellulomonas_uda,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,xylanilytica,Cellulomonas_xylanilytica,0,0,0,0,0,3
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,bovis,Corynebacterium_bovis,0,0,0,5,2,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,durum,Corynebacterium_durum,0,0,0,1,0,0
