kingdom,phylum,ERR977407,ERR977409,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977411,ERR977415,ERR977417,ERR977421
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,303,50
Archaea,Euryarchaeota,1,3,5,10,3,63,0,0,0,0,10,14,0,11
Archaea,Parvarchaeota,0,0,0,2,4,28,0,0,0,0,3,0,4,7
Bacteria,Acidobacteria,24,81,26,313,318,391,1,0,0,0,71,175,434,184
Bacteria,Actinobacteria,126,555,176,1113,2557,3723,23,41,48,0,94,793,165,630
Bacteria,Armatimonadetes,1,3,2,5,22,16,0,0,0,0,8,10,40,28
Bacteria,Bacteroidetes,43,163,116,547,649,1830,0,0,0,0,552,249,297,5274
Bacteria,Caldiserica,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Caldithrix,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bacteria,Chlamydiae,0,0,2,9,52,140,0,0,0,0,9,16,37,17
Bacteria,Chlorobi,11,42,23,160,166,205,0,0,0,0,7,41,52,65
Bacteria,Chloroflexi,85,324,169,1252,3265,2777,0,0,0,0,502,1369,218,209
Bacteria,Cyanobacteria,0,4,6,12,40,179,0,0,0,0,17,10,3,57
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Elusimicrobia,0,0,0,3,8,28,0,0,0,0,1,2,71,12
Bacteria,Fibrobacteres,1,0,0,2,0,0,0,0,0,0,0,6,0,0
Bacteria,Firmicutes,32,114,105,426,709,1667,2,3,5,3,57,239,11,22
Bacteria,Fusobacteria,0,2,0,3,10,20,0,0,0,0,0,1,0,0
Bacteria,Gemmatimonadetes,6,21,10,86,67,160,0,0,0,0,26,11,132,44
Bacteria,Lentisphaerae,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,9,57,21,176,249,217,2845,2266,3928,1690,23,166,3483,1328
Bacteria,Planctomycetes,26,71,24,192,339,343,99,111,166,71,117,201,305,149
Bacteria,Proteobacteria,181,604,273,2042,2676,14077,1211,1431,2867,1929,1403,1923,4473,29105
Bacteria,Spirochaetes,1,0,3,3,18,82,0,0,0,0,12,5,21,10
Bacteria,Synergistetes,0,1,0,0,3,4,0,0,0,0,2,0,0,0
Bacteria,Tenericutes,0,0,0,2,2,15,0,0,0,0,0,0,0,9
Bacteria,Thermi,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Bacteria,Thermotogae,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,8,11,9,85,131,365,0,0,0,0,42,22,196,150
