kingdom,phylum,ERR1823510,ERR1823511,ERR1823512
Archaea,Crenarchaeota,4,0,19
Archaea,Euryarchaeota,642,944,736
Archaea,Parvarchaeota,1,9,0
Bacteria,Acidobacteria,70,62,35
Bacteria,Actinobacteria,537,1313,116
Bacteria,Armatimonadetes,56,19,13
Bacteria,Bacteroidetes,1622,2290,1954
Bacteria,Caldiserica,20,46,54
Bacteria,Caldithrix,2,63,31
Bacteria,Chlamydiae,0,1,3
Bacteria,Chlorobi,9,28,29
Bacteria,Chloroflexi,1097,823,1445
Bacteria,Cyanobacteria,286,263,227
Bacteria,Elusimicrobia,27,1,3
Bacteria,Fibrobacteres,4,10,7
Bacteria,Firmicutes,3371,1398,3448
Bacteria,Fusobacteria,4,10,17
Bacteria,Gemmatimonadetes,14,16,6
Bacteria,Lentisphaerae,12,59,67
Bacteria,Nitrospirae,12,27,4
Bacteria,Planctomycetes,15,81,34
Bacteria,Proteobacteria,1415,1756,1301
Bacteria,Spirochaetes,395,373,697
Bacteria,Synergistetes,284,818,601
Bacteria,Tenericutes,32,32,27
Bacteria,Thermotogae,179,164,679
Bacteria,Verrucomicrobia,63,65,112
