kingdom,phylum,ERR1857181,ERR1857182,ERR1857183,ERR1857184,ERR1857185,ERR1857186,ERR1857187,ERR1857188,ERR1857189,ERR1857190,ERR1857191,ERR1857192,ERR1857193,ERR1857194,ERR1857195,ERR1857196,ERR1857197,ERR1857198,ERR1857199,ERR1857200,ERR1857201,ERR1857202,ERR1857203,ERR1857204,ERR1857205,ERR1857206,ERR1857207,ERR1857208,ERR1857209,ERR1857210,ERR1857211,ERR1857212,ERR1857213,ERR1857214,ERR1857215,ERR1857216
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,3,2,1,0,2,0,13,8,6,11,9,13,10,31,26,23,45,40,12,16,5,5,8,4,22,16,15,0,0,0,2,2,0,0,0,1
Archaea,Parvarchaeota,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,0,0,0,0,0,0,5,0,1,0,0,0,1,0,2,1,4,10,0,1,1,3,0,0,0,0,3,3,7,2,6,4,4,9,5,1
Bacteria,Actinobacteria,17,31,31,38,25,18,132,90,82,3,9,2,2,3,12,4,9,33,6,3,2,4,3,3,47,55,11,4,11,14,40,37,36,36,35,30
Bacteria,Armatimonadetes,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,3,0,0,0,1,0,1,2,1,0,1,1,0,4,0,4,1,1,0
Bacteria,Bacteroidetes,466,431,409,378,165,165,1622,1568,1406,28,47,55,76,46,81,108,155,160,106,47,68,85,94,56,278,143,176,48,50,65,161,161,172,79,85,67
Bacteria,Caldithrix,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlamydiae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlorobi,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,0,0,1,1,0,0,2,0,0,4,8,13,17,10,10,10,21,23,7,4,2,3,1,0,9,4,4,7,8,4,13,12,10,10,18,4
Bacteria,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,7,50,6,12,13,4,47,30,44,4,4,4,8,5,3,4,6,24,8,3,2,1,2,4,9,9,11,187,174,220,572,671,516,338,380,252
Bacteria,Elusimicrobia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Fibrobacteres,0,0,0,5,0,0,5,4,3,1,4,1,1,5,0,1,4,4,2,1,0,2,0,0,4,1,5,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,414,304,317,480,221,198,1450,1361,1089,25,98,40,49,61,121,126,240,148,140,79,66,71,80,81,284,170,187,11,25,21,125,107,123,35,77,119
Bacteria,Fusobacteria,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,2
Bacteria,Gemmatimonadetes,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,6,2
Bacteria,Lentisphaerae,2,0,0,3,2,1,4,6,5,0,5,0,1,3,1,2,0,1,20,14,6,21,11,21,14,10,12,0,0,0,6,3,10,0,0,0
Bacteria,Nitrospirae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
Bacteria,Planctomycetes,2,0,0,0,0,0,4,0,2,3,0,3,4,6,1,5,4,9,3,2,0,0,0,1,3,0,6,2,5,8,15,10,11,6,12,3
Bacteria,Proteobacteria,105,75,88,169,58,46,569,550,584,10,34,34,27,36,66,61,60,109,47,27,41,19,16,12,139,101,65,49,71,103,224,216,207,211,231,191
Bacteria,Spirochaetes,0,5,2,7,3,4,33,37,33,5,11,6,29,23,24,32,36,65,70,25,39,71,53,67,210,103,102,2,0,4,15,6,10,5,11,5
Bacteria,Synergistetes,2,0,1,0,1,1,3,6,0,0,6,1,4,7,6,10,14,6,8,8,2,3,0,0,9,3,11,0,1,0,0,0,0,0,0,0
Bacteria,Tenericutes,10,10,8,27,7,7,49,47,33,1,0,0,4,3,5,10,10,2,10,8,13,10,6,7,18,7,10,0,0,1,1,1,0,0,0,0
Bacteria,Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1
Bacteria,Verrucomicrobia,3,1,0,5,1,0,6,10,9,0,4,5,6,0,4,8,17,8,6,4,4,6,2,3,35,17,20,1,0,0,7,9,9,2,4,6
