kingdom,phylum,DRR066655,DRR066667,DRR066657,DRR066668,DRR066659,DRR066660
Archaea,Euryarchaeota,1809,3090121,2821,1324447,2902,14942
Bacteria,Acidobacteria,170,17,133,39,140,116
Bacteria,Actinobacteria,590,40,458,17,75,72
Bacteria,Armatimonadetes,19,1,23,0,17,56
Bacteria,Bacteroidetes,833,46,1070,8,2000,6895
Bacteria,Caldiserica,0,0,6,0,0,0
Bacteria,Caldithrix,5,0,1,1,2,6
Bacteria,Chlorobi,1,0,2,0,0,0
Bacteria,Chloroflexi,51,17,18,0,29,245
Bacteria,Chrysiogenetes,1,0,0,0,2,0
Bacteria,Cyanobacteria,62,1,47,0,34,39
Bacteria,Deferribacteres,6,0,4,0,2,0
Bacteria,Dictyoglomi,1,0,0,0,0,0
Bacteria,Elusimicrobia,2,0,1,0,1,1
Bacteria,Fibrobacteres,1,0,0,0,0,0
Bacteria,Firmicutes,168232,9814,104811,12545,29433,17865
Bacteria,Fusobacteria,0,1,0,1,0,0
Bacteria,Gemmatimonadetes,89,15,43,13,31,20
Bacteria,Lentisphaerae,0,0,0,0,0,0
Bacteria,Nitrospirae,110,27,170,55,123,42
Bacteria,Planctomycetes,0,0,1,1,0,20
Bacteria,Proteobacteria,5437,9310,10889,2409,379,464
Bacteria,Spirochaetes,2,0,13,0,3,21
Bacteria,Synergistetes,9352,5685,7609,4834,2161,1510
Bacteria,Tenericutes,79,13,16,1,3,2
Bacteria,Thermi,22,1,5,2,8,11
Bacteria,Thermotogae,1378,572,290,384,140,278
Bacteria,Verrucomicrobia,1,2,5,2,0,5
