Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,DRR066655,DRR066667,DRR066657,DRR066668,DRR066659,DRR066660
Archaea,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,veneficus,Archaeoglobus_veneficus,1,0,2,1,0,0
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,bryantii,Methanobacterium_bryantii,94,12613,94,12108,14,58
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,arboriphilus,Methanobrevibacter_arboriphilus,3,4,0,5,0,1
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,thermautotrophicus,Methanothermobacter_thermautotrophicus,125,30539,242,22790,150,616
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,bourgensis,Methanoculleus_bourgensis,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,blatticola,Methanimicrococcus_blatticola,0,166,3,119,3,42
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,evestigatum,Methanohalobium_evestigatum,0,21219,2,9921,7,46
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,zhilinae,Methanosalsum_zhilinae,0,17,0,12,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,mazei,Methanosarcina_mazei,2,670,26,411,61,376
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methermicoccaceae,Methermicoccus,shengliensis,Methermicoccus_shengliensis,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,durum,Corynebacterium_durum,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,variabile,Corynebacterium_variabile,1,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Millisia,brevis,Millisia_brevis,3,0,2,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,aurum,Microbacterium_aurum,1,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,barkeri,Microbacterium_barkeri,1,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,palustris,Kocuria_palustris,4,0,2,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Microbispora,rosea,Microbispora_rosea,1,0,0,0,1,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,dentocariosa,Rothia_dentocariosa,0,1,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,mucilaginosa,Rothia_mucilaginosa,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,celatum,Mycobacterium_celatum,0,0,1,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,equi,Rhodococcus_equi,5,0,7,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,fascians,Rhodococcus_fascians,0,0,3,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes,Propionibacterium_acnes,0,9,0,6,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Tessaracoccus,bendigoensis,Tessaracoccus_bendigoensis,1,0,1,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Prauserella,rugosa,Prauserella_rugosa,11,0,5,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Thermobispora,bispora,Thermobispora_bispora,7,0,3,0,4,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,roseoviolacea,Nonomuraea_roseoviolacea,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Yaniellaceae,Auritibacter,ignavus,Auritibacter_ignavus,0,0,1,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,adolescentis,Bifidobacterium_adolescentis,0,4,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,gadei,Dysgonomonas_gadei,1,0,2,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,ochracea,Capnocytophaga_ochracea,1,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,gelidilacus,Flavobacterium_gelidilacus,0,0,1,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,succinicans,Flavobacterium_succinicans,0,0,2,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella,halotolerans,Imtechella_halotolerans,0,0,1,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Krokinobacter,genikus,Krokinobacter_genikus,6,0,11,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,odoratimimus,Myroides_odoratimimus,0,0,2,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,maritimus,Sufflavibacter_maritimus,1,0,5,0,0,0
Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,mizutaii,Sphingobacterium_mizutaii,10,0,5,0,0,0
Bacteria,Bacteria,Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum,alkaliphilum,Desulfurispirillum_alkaliphilum,1,0,0,0,2,0
Bacteria,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,succinogenes,Fibrobacter_succinogenes,1,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,acidiphilus,Alicyclobacillus_acidiphilus,0,0,2,0,1,1
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,acidocaldarius,Alicyclobacillus_acidocaldarius,0,0,1,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,cycloheptanicus,Alicyclobacillus_cycloheptanicus,31,0,14,0,1,1
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,ferripilum,Alicyclobacillus_ferripilum,0,0,0,0,0,1
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,kestanbolensis,Anoxybacillus_kestanbolensis,78,1,11,1,14,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,anthracis,Bacillus_anthracis,1,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,asahii,Bacillus_asahii,1,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,aurantiacus,Bacillus_aurantiacus,10,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus,Bacillus_cereus,11,1,0,0,1,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,clausii,Bacillus_clausii,1,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,coahuilensis,Bacillus_coahuilensis,252,0,14,0,15,2
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,farraginis,Bacillus_farraginis,0,0,0,0,1,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,firmus,Bacillus_firmus,112,0,9,0,7,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,flexus,Bacillus_flexus,10,0,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,foraminis,Bacillus_foraminis,52,0,1,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ginsengihumi,Bacillus_ginsengihumi,9,0,0,12,1,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,halodurans,Bacillus_halodurans,48,0,5,0,3,0
