kingdom,phylum,ERR2729815,ERR2729816,ERR2729817,ERR2729818,ERR2729819,ERR2729820,ERR2729821,ERR2729822,ERR2729823,ERR2729824,ERR2729825,ERR2729826,ERR2729827,ERR2729828,ERR2729829,ERR2729830,ERR2729831,ERR2729832,ERR2729833,ERR2729834,ERR2729835,ERR2729836,ERR2729837,ERR2729838,ERR2729839,ERR2729840,ERR2729841,ERR2729842,ERR2729843,ERR2729844,ERR2729845,ERR2729846,ERR2729847,ERR2729848,ERR2729849,ERR2729850,ERR2729851,ERR2729852,ERR2729853,ERR2729854,ERR2729855,ERR2729856,ERR2729857,ERR2729858,ERR2729859,ERR2729860,ERR2729861,ERR2729862,ERR2729863,ERR2729864,ERR2729865,ERR2729866,ERR2729867,ERR2729868,ERR2729869,ERR2729870,ERR2729871,ERR2729872,ERR2729873,ERR2729874,ERR2729875,ERR2729876,ERR2729877,ERR2729878,ERR2729879,ERR2729880,ERR2729881,ERR2729882,ERR2729883,ERR2729884,ERR2729885,ERR2729886,ERR2729887,ERR2729888,ERR2729889,ERR2729890,ERR2729891,ERR2729892,ERR2729893,ERR2729894,ERR2729895,ERR2729896,ERR2729897,ERR2729898,ERR2729899,ERR2729900,ERR2729901,ERR2729902,ERR2729903,ERR2729904,ERR2729905,ERR2729906,ERR2729907,ERR2729908,ERR2729909,ERR2729910,ERR2729911,ERR2729912,ERR2729913,ERR2729914,ERR2729915,ERR2729916,ERR2729917,ERR2729918,ERR2729919,ERR2729920,ERR2729921,ERR2729922,ERR2729923,ERR2729924,ERR2729925,ERR2729926,ERR2729927,ERR2729928,ERR2729929,ERR2729930,ERR2729931,ERR2729932,ERR2729933,ERR2729934,ERR2729935,ERR2729936,ERR2729937,ERR2729938,ERR2729939,ERR2729940,ERR2729941,ERR2729942,ERR2729943,ERR2729944,ERR2729945,ERR2729946,ERR2729947,ERR2729948,ERR2729949,ERR2729950,ERR2729951,ERR2729952,ERR2729953,ERR2729954,ERR2729955,ERR2729956,ERR2729957,ERR2729958,ERR2729959,ERR2729960,ERR2729961,ERR2729962,ERR2729963,ERR2729964,ERR2729965,ERR2729966,ERR2729967,ERR2729968,ERR2729969,ERR2729970,ERR2729971,ERR2729972,ERR2088984,ERR2088985,ERR2088986,ERR2088987,ERR2088988,ERR2088989,ERR2088990,ERR2088991,ERR2088992,ERR2088993,ERR2088994,ERR2088995
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,1,16,4,15,0,12,7,8,2,16,3,10,6,5,3,10,1,12,4,15,4,9,2,23,6,8,2,12,4,20,1,45,5,24,94,74,89,61,63,74,39,17,34,17,27,18,22,24,24,28,16,36,18,46,15,53,18,78,30,132,23,111,17,90,33,69,14,118,23,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thaumarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,136,140,157,129,133,116,159,107,197,121,167,149,175,260,229,276,130,255,735,564,579,462,420,429,1039,670,1798,728,1170,618,1263,937,2051,770,1755,808,245,133,252,157,281,171,109,161,89,142,99,189,100,60,116,85,96,101,1008,168,765,66,788,168,1851,419,1718,386,2178,494,4086,760,3002,705,2947,826,1,9,4,12,63,130,58,110,70,105,129,485,208,446,134,341,105,688,186,776,137,639,587,1101,644,965,753,799,1198,1275,1478,1119,1365,1328,2210,1227,3101,2871,2278,1630,70,88,57,67,66,73,144,399,130,344,140,438,169,294,160,228,206,300,1767,443,1433,430,1494,531,4799,737,4273,640,3957,622,7219,1009,5418,1696,5874,1802,0,3,9,9,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,2007,388,1828,284,1800,311,1587,788,2382,894,1906,947,3401,651,5775,739,4840,613,5943,2367,5976,2090,5931,2212,4016,944,7360,940,5925,1003,4046,2368,6274,2018,5753,2195,36007,209,34889,224,36632,250,13401,680,12365,701,12628,819,8248,216,10355,318,8187,372,44094,1267,34469,666,35169,1389,35936,620,27331,644,33940,778,29707,1264,22831,1047,21536,1412,0,174,88,279,168,78,152,65,169,53,204,74,268,73,186,77,205,230,306,231,273,240,477,233,535,204,491,175,373,212,439,201,490,194,649,183,707,388,585,190,12596,77,10005,58,11417,78,5685,58,5040,45,5294,53,3975,102,3288,81,3823,99,13979,251,11528,285,12288,288,12815,337,10891,291,10590,289,9703,198,7265,314,7925,350,0,145,192,704,8,0,18,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,2,5,1,4,6,5,12,6,18,7,12,8,12,8,9,14,4,15,48,13,17,16,29,17,75,41,70,41,55,33,95,14,137,13,105,16,11,1,11,5,6,1,9,2,11,3,6,6,12,1,12,4,12,6,67,4,43,7,52,4,169,12,119,22,179,10,272,11,179,9,181,25,0,0,0,0,1,3,1,0,1,2,2,3,1,7,4,2,7,12,6,9,4,16,13,8,16,10,13,9,39,30,36,16,29,17,51,5,80,15,65,11,4,1,7,2,11,2,5,2,8,2,9,3,9,4,8,0,9,5,37,2,30,2,17,4,96,11,70,9,76,12,144,4,106,8,97,10,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,27719,17875,26591,14847,25257,13498,20682,7870,25825,8180,22157,8432,17631,16527,24437,19704,19522,14554,26063,13300,21936,11574,21898,10227,14746,14897,25558,14214,21405,13439,14136,13592,21841,11312,20817,12584,4943,19051,4862,20405,5293,20042,3768,11454,3411,11727,3542,15106,5458,22275,6798,30208,5513,33964,18207,17379,13389,6597,14822,16694,22898,25099,22453,22454,28026,26366,37837,21191,28409,18523,26414,21162,9,153,66,174,10321,10862,8491,8597,9577,7331,11528,7413,17111,6950,11449,5546,9761,20458,14910,21769,11612,21081,10774,13060,12718,11878,12007,9001,11476,12306,13497,10367,11881,11734,12738,8650,15711,18826,11493,10312,3222,8377,2538,7257,2808,8505,1959,7605,1794,5957,1758,7484,3257,32058,2870,25598,3022,33783,6709,17305,5141,18268,5639,19332,12944,17873,10935,15494,10195,15001,16035,9411,12524,14951,12317,16655,32,36,20,285,35,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Balneolaeota,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Caldiserica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
