Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,OFEK01
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_Methanobacteriaceae,3.0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanothrix,Methanothrix_Methanosaetaceae,1.0
Archaea,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus_Methanomassiliicoccaceae,2.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Lentimicrobiaceae,Lentimicrobium,Lentimicrobium_Lentimicrobiaceae,1.0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea,Pelolinea_Anaerolineaceae,2.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas_Syntrophomonadaceae,2.0
Bacteria,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,Ignavibacterium_Ignavibacteriaceae,1.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus,Azonexus_Azonexaceae,1.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_Geobacteraceae,2.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,Smithella_Syntrophaceae,2.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,Syntrophobacter_Syntrophobacteraceae,2.0
Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Methylomonas_Methylococcaceae,1.0
Bacteria,Bacteria,Spirochaetes,Spirochaetia,,Leptospiraceae,Leptonema,Leptonema_Leptospiraceae,1.0
Bacteria,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Sphaerochaeta_Spirochaetaceae,1.0
Bacteria,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_Kosmotogaceae,1.0
Eukaryota,Eukaryota,,,Trichomonadida,,Pseudotrichomonas,Pseudotrichomonas,1.0
