kingdom,phylum,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220
Archaea,Crenarchaeota,0,0,2,0,0,0
Archaea,Euryarchaeota,3,2,6,1,2,8
Archaea,Thaumarchaeota,32,43,36,0,0,0
Bacteria,Acidobacteria,519,645,689,244,202,163
Bacteria,Actinobacteria,2040,2184,2305,325,298,293
Bacteria,Armatimonadetes,442,494,564,15,11,13
Bacteria,Bacteroidetes,674,726,851,4855,5740,5213
Bacteria,Caldiserica,0,0,0,0,0,2
Bacteria,Calditrichaeota,0,0,0,0,0,1
Bacteria,Chlamydiae,4,2,3,22,22,13
Bacteria,Chlorobi,0,0,0,0,1,0
Bacteria,Chloroflexi,1109,1068,1205,672,746,658
Bacteria,Cyanobacteria,144,144,157,40,30,38
Bacteria,Elusimicrobia,2,3,2,8,2,2
Bacteria,Fibrobacteres,0,0,0,5,8,8
Bacteria,Firmicutes,22,22,35,145,160,148
Bacteria,Fusobacteria,0,1,0,7,13,0
Bacteria,Gemmatimonadetes,26,29,35,90,83,95
Bacteria,Ignavibacteriae,63,66,94,2,8,3
Bacteria,Kiritimatiellaeota,4,6,5,18,10,19
Bacteria,Nitrospinae,1,0,0,0,0,1
Bacteria,Nitrospirae,242,291,307,144,179,193
Bacteria,Planctomycetes,1100,1115,1299,225,241,221
Bacteria,Proteobacteria,8815,9407,10972,10009,11517,9048
Bacteria,Spirochaetes,13,6,8,8,19,16
Bacteria,Synergistetes,1,1,0,3,0,1
Bacteria,Tenericutes,0,0,0,0,8,0
Bacteria,Thermotogae,0,1,0,0,0,0
Bacteria,Verrucomicrobia,120,139,181,352,428,374
Eukaryota,Annelida,0,0,0,8,2,0
Eukaryota,Apicomplexa,1,0,1,2,2,5
Eukaryota,Arthropoda,3,3,4,2,4,1
Eukaryota,Ascomycota,1,0,0,10,12,10
Eukaryota,Bacillariophyta,0,0,0,1,4,5
Eukaryota,Basidiomycota,0,0,0,4,1,1
Eukaryota,Blastocladiomycota,0,0,0,0,1,1
Eukaryota,Chlorophyta,0,0,0,3,4,3
Eukaryota,Chordata,0,0,1,4,1,4
Eukaryota,Chytridiomycota,0,1,0,7,9,7
Eukaryota,Cnidaria,1,0,0,1,1,1
Eukaryota,Colponemidia,1,1,0,0,0,0
Eukaryota,Cryptomycota,8,16,15,5,17,10
Eukaryota,Euglenida,7,6,12,0,0,0
Eukaryota,Mollusca,0,0,0,1,0,0
Eukaryota,Mucoromycota,0,0,1,3,1,0
Eukaryota,Nematoda,1,0,0,11,15,8
Eukaryota,Phaeophyceae,0,0,0,1,0,0
Eukaryota,Platyhelminthes,0,0,0,0,1,0
Eukaryota,Porifera,0,0,0,2,0,1
Eukaryota,Rotifera,68,39,69,0,4,2
Eukaryota,Streptophyta,1,2,2,4,12,11
Eukaryota,Tardigrada,0,0,0,41,35,29
Eukaryota,Xenacoelomorpha,0,1,0,1,0,0
