kingdom,phylum,ERR2683114,ERR2683115,ERR2683118,ERR2683121,ERR2683124,ERR2683128,ERR2683129,ERR2683133,ERR2683136,ERR2683137,ERR2683138,ERR2683140,ERR2683141,ERR2683143,ERR2683144,ERR2683145,ERR2683146,ERR2683147,ERR2683160,ERR2683170,ERR2683172,ERR2683173,ERR2683174,ERR2683177,ERR2683179,ERR2683186,ERR2683188,ERR2683189,ERR2683191,ERR2683192,ERR2683193,ERR2683194,ERR2683195,ERR2683196,ERR2683199,ERR2683200,ERR2683203,ERR2683204,ERR2683205,ERR2683208,ERR2683211,ERR2683213,ERR2683214,ERR2683215,ERR2683218,ERR2683219,ERR2683220,ERR2683221,ERR2683222,ERR2683223,ERR2683225,ERR2683227,ERR2683228,ERR2683231,ERR2683232,ERR2683233,ERR2683238,ERR2683241,ERR2683244,ERR2683245,ERR2683246,ERR2683249,ERR2683251,ERR2683252,ERR2683254,ERR2683255,ERR2683257,ERR2683259,ERR2683261,ERR2683264,ERR2683265,ERR2683268,ERR2683273,ERR2683276,ERR2683277,ERR2683525,ERR2683527,ERR2683528,ERR2683529,ERR2683534,ERR2683535,ERR2683116,ERR2683117,ERR2683119,ERR2683120,ERR2683122,ERR2683123,ERR2683125,ERR2683126,ERR2683127,ERR2683130,ERR2683131,ERR2683132,ERR2683134,ERR2683135,ERR2683139,ERR2683142,ERR2683148,ERR2683149,ERR2683150,ERR2683151,ERR2683152,ERR2683153,ERR2683154,ERR2683155,ERR2683156,ERR2683157,ERR2683158,ERR2683159,ERR2683161,ERR2683162,ERR2683163,ERR2683164,ERR2683165,ERR2683166,ERR2683167,ERR2683168,ERR2683169,ERR2683171,ERR2683175,ERR2683176,ERR2683178,ERR2683180,ERR2683181,ERR2683182,ERR2683183,ERR2683184,ERR2683185,ERR2683187,ERR2683190,ERR2683197,ERR2683198,ERR2683201,ERR2683202,ERR2683206,ERR2683207,ERR2683209,ERR2683210,ERR2683212,ERR2683216,ERR2683217,ERR2683224,ERR2683226,ERR2683229,ERR2683230,ERR2683234,ERR2683235,ERR2683236,ERR2683237,ERR2683239,ERR2683240,ERR2683242,ERR2683243,ERR2683247,ERR2683248,ERR2683250,ERR2683253,ERR2683256,ERR2683258,ERR2683260,ERR2683262,ERR2683263,ERR2683266,ERR2683267,ERR2683269,ERR2683270,ERR2683271,ERR2683272,ERR2683274,ERR2683275,ERR2683278,ERR2683279,ERR2683280,ERR2683526,ERR2683530,ERR2683531,ERR2683532,ERR2683533,ERR2683536,ERR2683537,ERR2683538
Archaea,Crenarchaeota,0,0,0,47,6,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,2,0,0,0,1,2,0,0,1,0,0,0,32,0,0,1,0,3,0,0,0,0,0,5,1,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,5,0,0,0,2,0,2,0,0,0,2,11,0,3,0,0,0,0,4,0,0,1,0,0,0,3,0,28,0,0,0,0,6,0,1,0,0,0,2,12,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,3,0,1,0,1,1,1,0,0,1,0,0,7,0,1,2,0,3,1,8,0,2,1,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,544,45,1481,1589,324,346,304,626,157,431,411,130,63,259,387,139,96,208,828,34,214,790,1560,137,107,504,467,209,270,149,139,38,164,143,216,50,157,24,27,17,3868,155,188,36,143,837,597,593,265,174,116,1231,363,328,115,186,1126,80,169,182,552,171,433,182,108,599,270,190,265,119,69,154,210,25,223,1,1,7,4,17,14,257,128,42,241,237,161,43,10,24,17,418,81,288,128,622,510,935,447,726,104,391,77,395,592,706,511,274,104,379,81,670,424,578,136,165,329,20,2922,369,156,120,15,179,1114,1151,429,246,98,221,267,1003,19,24,18,16,90,147,1120,372,238,78,239,467,230,306,198,59,941,608,95,287,183,212,145,87,77,548,119,139,1045,211,878,81,100,1092,22,1326,106,157,90,19,32,1,3,6,2,29,11,0,0
Archaea,Nanoarchaeota,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thaumarchaeota,3,0,4,1,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,0,7,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,48,74,128,561,331,124,79,72,210,60,49,451,73,32,46,183,191,120,65,175,49,26,95,18,37,210,375,89,109,602,157,28,427,161,847,75,78,14,12,17,240,48,91,16,47,89,76,148,59,106,82,458,39,56,98,87,185,53,63,626,306,63,63,75,92,185,209,63,62,403,144,342,86,64,962,3,3,0,1,18,13,82,139,47,124,138,173,40,79,115,719,72,1014,180,46,35,57,467,63,39,111,88,59,76,61,51,90,62,17,579,105,1401,2048,492,211,163,400,598,4211,190,96,126,299,130,834,1113,431,161,84,95,49,79,16,16,15,8,55,59,6272,59,48,96,17,60,68,76,45,101,146,297,43,156,121,81,587,47,250,78,94,105,44,41,152,102,81,248,82,76,63,109,60,14,87,3,7,1,1,16,9,0,0
Bacteria,Actinobacteria,6851,1842,3175,952,874,3657,6477,9775,1753,2987,3461,1570,1075,5243,1757,2248,1329,3732,2814,789,6678,4970,4097,1247,1798,5069,1484,1866,7466,1710,1662,531,4553,3684,1364,670,2655,148,110,107,1058,2792,3002,892,1926,2492,7063,2112,2375,2198,863,5948,2171,2038,1423,2047,8379,821,1443,2089,970,1067,2620,1536,2996,2519,4396,4559,1190,587,1442,688,2864,1371,2916,41,31,23,12,85,80,1110,1243,2345,1357,1898,1332,8086,6565,9662,2081,9900,3442,4782,1867,4114,1865,1233,3874,4287,4473,5393,2744,2811,6153,3470,2030,1976,699,902,1107,1913,1819,776,1552,1351,1970,5493,2597,1657,4424,1182,711,1349,5883,1984,5154,2486,1345,3917,1360,2318,105,144,119,134,2025,891,1485,3686,1707,928,3009,3500,1461,2731,2965,1362,9733,6910,4005,1329,813,10731,1349,1053,898,4231,1031,1121,2103,1657,4338,993,591,853,4618,2255,3476,5640,2763,404,41854,33,16,12,30,97,114,3,5
Bacteria,Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,4,4,5,516,51,9,8,3,36,39,33,36,79,2,14,9,12,12,19,13,9,10,21,0,4,15,24,18,6,38,31,4,26,9,55,3,1,0,0,2,127,22,78,4,21,26,16,7,6,44,3,22,5,12,20,13,10,2,44,114,14,8,23,9,8,18,37,15,12,14,10,14,21,0,10,0,0,3,2,1,1,4,0,6,20,83,13,15,15,3,135,9,170,12,4,12,18,163,5,4,2,3,8,18,13,4,15,34,12,213,6,20,82,60,5,12,16,36,63,21,6,10,37,4,19,66,22,7,2,13,22,33,2,2,2,0,7,16,276,10,14,8,3,2,6,71,7,19,24,13,14,11,26,1,123,12,19,25,14,10,53,14,8,4,8,289,12,4,6,11,8,3,20,2,0,1,0,9,0,0,0
Bacteria,Bacteroidetes,2007,1868,7038,3273,12759,18126,9120,3779,4683,3644,4393,7713,7479,2249,6148,7095,20505,5361,2936,4979,5214,8670,6287,5242,2495,5274,5323,4027,4582,8811,4919,2042,2697,10592,5773,23172,4235,663,526,617,8793,3075,9342,1337,6838,5082,5812,6169,5304,4322,6889,3968,3164,5375,9008,4371,6175,1928,8267,6649,37078,5385,8522,5303,7933,2747,3402,3169,4849,10878,17805,4081,7195,13658,3018,77,47,61,60,190,210,10739,9801,10083,4602,37016,12701,2966,2250,2082,2766,4189,3381,7194,3565,8422,5663,11974,4373,2569,5934,2357,4339,5673,3007,3418,8782,10328,2440,6385,10771,5969,3740,4893,4359,15666,4866,14317,3071,5803,7338,2056,4003,5346,4824,2606,17633,3862,2427,5647,5592,4217,614,608,554,678,3920,4955,10290,2666,3652,12606,5024,3875,4943,4914,4681,18704,8313,6383,6518,3527,5157,2619,8253,11733,10056,6904,2007,9645,3025,3853,3396,7831,16085,1669,4570,1840,7169,3575,15134,1903,881,44,21,55,76,222,295,9,5
Bacteria,Balneolaeota,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,104,7,21,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
