kingdom,phylum,ERR3258496
Archaea,Euryarchaeota,17
Bacteria,Acidobacteria,41
Bacteria,Actinobacteria,195
Bacteria,Armatimonadetes,5
Bacteria,Bacteroidetes,4625
Bacteria,Calditrichaeota,1
Bacteria,Chlamydiae,3
Bacteria,Chlorobi,2
Bacteria,Chloroflexi,59
Bacteria,Cyanobacteria,6
Bacteria,Deferribacteres,102
Bacteria,Elusimicrobia,38
Bacteria,Fibrobacteres,9
Bacteria,Firmicutes,1953
Bacteria,Fusobacteria,332
Bacteria,Gemmatimonadetes,5
Bacteria,Ignavibacteriae,7
Bacteria,Kiritimatiellaeota,142
Bacteria,Lentisphaerae,127
Bacteria,Nitrospinae,2
Bacteria,Planctomycetes,49
Bacteria,Proteobacteria,35282
Bacteria,Spirochaetes,180
Bacteria,Synergistetes,794
Bacteria,Tenericutes,43
Bacteria,Thermotogae,24
Bacteria,Verrucomicrobia,180
