kingdom,phylum,ERZ795381
Archaea,Euryarchaeota,4
Bacteria,Acidobacteria,4
Bacteria,Actinobacteria,9
Bacteria,Armatimonadetes,3
Bacteria,Bacteroidetes,5
Bacteria,Chloroflexi,1
Bacteria,Cyanobacteria,1
Bacteria,Dictyoglomi,1
Bacteria,Firmicutes,30
Bacteria,Fusobacteria,2
Bacteria,Ignavibacteriae,1
Bacteria,Nitrospirae,1
Bacteria,Planctomycetes,6
Bacteria,Proteobacteria,10
Bacteria,Spirochaetes,1
Bacteria,Synergistetes,4
Bacteria,Thermotogae,3
Bacteria,Verrucomicrobia,2
Eukaryota,Ascomycota,2
Eukaryota,Nematoda,2
