Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERZ782916,ERZ782915,ERZ782927,ERZ782929,ERZ782928,ERZ782923,ERZ782930,ERZ782925,ERZ782926,ERZ782924
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia_Nocardiaceae,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter_Microbacteriaceae,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Bacteria,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_Chitinophagaceae,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_Chitinophagaceae,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,Leadbetterella_Cytophagaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_Flavobacteriaceae,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,Neochlamydia_Parachlamydiaceae,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_Bacillaceae,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Anaerofustis_Eubacteriaceae,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia_Hyphomicrobiaceae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_Sphingomonadaceae,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea_Burkholderiaceae,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga_Comamonadaceae,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_Moraxellaceae,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_Pseudomonadaceae,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
Bacteria,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_Mycoplasmataceae,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Eukaryota,Eukaryota,,,,Jakobidae,Jakoba,Jakoba_Jakobidae,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eukaryota,Eukaryota,,,Cercomonadida,Heteromitidae,Heteromita,Heteromita_Heteromitidae,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,Glissomonadida,,Sandona,Sandona,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,Glissomonadida,Sandonidae,Bodomorpha,Bodomorpha_Sandonidae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Allovahlkampfia,Allovahlkampfia_Vahlkampfiidae,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Eukaryota,Eukaryota,,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Vahlkampfia,Vahlkampfia_Vahlkampfiidae,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eukaryota,Eukaryota,,Oomycetes,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara_Peronosporaceae,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
