Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,tarda,Propioniciclava_tarda,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,aerofaciens,Collinsella_aerofaciens,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,coprocola,Bacteroides_coprocola,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus,Bacteroides_vulgatus,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,hutchinsonii,Cytophaga_hutchinsonii,1.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algoriella,xinjiangensis,Algoriella_xinjiangensis,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella,columbina,Riemerella_columbina,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecalis,Enterococcus_faecalis,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,hongkongensis,Laribacter_hongkongensis,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,moraviensis,Pseudomonas_moraviensis,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,bacteriovorus,Bdellovibrio_bacteriovorus,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermovirga,lienii,Thermovirga_lienii,0.0,1.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,,,Copromyxa,protea,Copromyxa_protea,1.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,Arcellinida,Arcellidae,Arcella,gibbosa,Arcella_gibbosa,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,Arcellinida,Arcellidae,Arcella,hemisphaerica,Arcella_hemisphaerica,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,Bicosoecida,Bicosoecidae,Bicosoeca,petiolata,Bicosoeca_petiolata,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,Kinetoplastida,Bodonidae,Parabodo,caudatus,Parabodo_caudatus,1.0,0.0,0.0,1.0,0.0,0.0
Eukaryota,Eukaryota,,,Kinetoplastida,Bodonidae,Parabodo,nitrophilus,Parabodo_nitrophilus,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,Chrysophyceae,Chromulinales,Paraphysomonadaceae,Paraphysomonas,vestita,Paraphysomonas_vestita,0.0,0.0,0.0,0.0,0.0,1.0
Eukaryota,Eukaryota,,Oligohymenophorea,Sessilida,Operculariidae,Opercularia,microdiscum,Opercularia_microdiscum,0.0,0.0,0.0,0.0,1.0,0.0
Eukaryota,Eukaryota,,Phyllopharyngea,Endogenida,Tokophryidae,Tokophrya,lemnarum,Tokophrya_lemnarum,0.0,0.0,0.0,0.0,0.0,1.0
Eukaryota,Metazoa,Arthropoda,Insecta,Blattodea,Termopsidae,Zootermopsis,nevadensis,Zootermopsis_nevadensis,0.0,0.0,0.0,0.0,0.0,1.0
Eukaryota,Metazoa,Nematoda,Chromadorea,Diplogasterida,Diplogasteridae,Rhabditidoides,humicolus,Rhabditidoides_humicolus,0.0,0.0,0.0,0.0,0.0,1.0
Eukaryota,Metazoa,Rotifera,Bdelloidea,Adinetida,Adinetidae,Adineta,vaga,Adineta_vaga,0.0,0.0,0.0,0.0,0.0,0.0
