OTU,phylum,kingdom
OTU1,Crenarchaeota,Archaea
OTU2,Euryarchaeota,Archaea
OTU3,Nanoarchaeota,Archaea
OTU4,Thaumarchaeota,Archaea
OTU5,Acidobacteria,Bacteria
OTU6,Actinobacteria,Bacteria
OTU7,Aquificae,Bacteria
OTU8,Armatimonadetes,Bacteria
OTU9,Bacteroidetes,Bacteria
OTU10,Balneolaeota,Bacteria
OTU11,Caldiserica,Bacteria
OTU12,Calditrichaeota,Bacteria
OTU13,Chlamydiae,Bacteria
OTU14,Chlorobi,Bacteria
OTU15,Chloroflexi,Bacteria
OTU16,Chrysiogenetes,Bacteria
OTU17,Cyanobacteria,Bacteria
OTU18,Deferribacteres,Bacteria
OTU19,Elusimicrobia,Bacteria
OTU20,Fibrobacteres,Bacteria
OTU21,Firmicutes,Bacteria
OTU22,Fusobacteria,Bacteria
OTU23,Gemmatimonadetes,Bacteria
OTU24,Ignavibacteriae,Bacteria
OTU25,Kiritimatiellaeota,Bacteria
OTU26,Lentisphaerae,Bacteria
OTU27,Nitrospinae,Bacteria
OTU28,Nitrospirae,Bacteria
OTU29,Planctomycetes,Bacteria
OTU30,Proteobacteria,Bacteria
OTU31,Rhodothermaeota,Bacteria
OTU32,Spirochaetes,Bacteria
OTU33,Synergistetes,Bacteria
OTU34,Tenericutes,Bacteria
OTU35,Thermodesulfobacteria,Bacteria
OTU36,Thermotogae,Bacteria
OTU37,Verrucomicrobia,Bacteria
OTU38,Annelida,Eukaryota
OTU39,Apicomplexa,Eukaryota
OTU40,Arthropoda,Eukaryota
OTU41,Ascomycota,Eukaryota
OTU42,Bacillariophyta,Eukaryota
OTU43,Basidiomycota,Eukaryota
OTU44,Blastocladiomycota,Eukaryota
OTU45,Brachiopoda,Eukaryota
OTU46,Bryozoa,Eukaryota
OTU47,Chlorophyta,Eukaryota
OTU48,Chordata,Eukaryota
OTU49,Chromerida,Eukaryota
OTU50,Chytridiomycota,Eukaryota
OTU51,Cnidaria,Eukaryota
OTU52,Colponemidia,Eukaryota
OTU53,Cryptomycota,Eukaryota
OTU54,Echinodermata,Eukaryota
OTU55,Entoprocta,Eukaryota
OTU56,Entorrhizomycota,Eukaryota
OTU57,Euglenida,Eukaryota
OTU58,Eustigmatophyceae,Eukaryota
OTU59,Gastrotricha,Eukaryota
OTU60,Gnathostomulida,Eukaryota
OTU61,Haplosporidia,Eukaryota
OTU62,Hemichordata,Eukaryota
OTU63,Microsporidia,Eukaryota
OTU64,Mollusca,Eukaryota
OTU65,Mucoromycota,Eukaryota
OTU66,Nematoda,Eukaryota
OTU67,Phaeophyceae,Eukaryota
OTU68,Picozoa,Eukaryota
OTU69,Pinguiophyceae,Eukaryota
OTU70,Placozoa,Eukaryota
OTU71,Platyhelminthes,Eukaryota
OTU72,Porifera,Eukaryota
OTU73,Priapulida,Eukaryota
OTU74,Rotifera,Eukaryota
OTU75,Streptophyta,Eukaryota
OTU76,Tardigrada,Eukaryota
OTU77,Xanthophyceae,Eukaryota
OTU78,Xenacoelomorpha,Eukaryota
OTU79,Zoopagomycota,Eukaryota
OTU80,Parvarchaeota,Archaea
OTU81,Caldithrix,Bacteria
OTU82,Thermi,Bacteria
OTU83,Dictyoglomi,Bacteria
