OTU,ERZ1764620,ERZ1764613,ERZ1764614,ERZ1764618,ERZ1764622,ERZ1764624,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220,ERR2729815,ERR2729816,ERR2729817,ERR2729818,ERR2729819,ERR2729820,ERR2729821,ERR2729822,ERR2729823,ERR2729824,ERR2729825,ERR2729826,ERR2729827,ERR2729828,ERR2729829,ERR2729830,ERR2729831,ERR2729832,ERR2729833,ERR2729834,ERR2729835,ERR2729836,ERR2729837,ERR2729838,ERR2729839,ERR2729840,ERR2729841,ERR2729842,ERR2729843,ERR2729844,ERR2729845,ERR2729846,ERR2729847,ERR2729848,ERR2729849,ERR2729850,ERR2729851,ERR2729852,ERR2729853,ERR2729854,ERR2729855,ERR2729856,ERR2729857,ERR2729858,ERR2729859,ERR2729860,ERR2729861,ERR2729862,ERR2729863,ERR2729864,ERR2729865,ERR2729866,ERR2729867,ERR2729868,ERR2729869,ERR2729870,ERR2729871,ERR2729872,ERR2729873,ERR2729874,ERR2729875,ERR2729876,ERR2729877,ERR2729878,ERR2729879,ERR2729880,ERR2729881,ERR2729882,ERR2729883,ERR2729884,ERR2729885,ERR2729886,ERR2729887,ERR2729888,ERR2729889,ERR2729890,ERR2729891,ERR2729892,ERR2729893,ERR2729894,ERR2729895,ERR2729896,ERR2729897,ERR2729898,ERR2729899,ERR2729900,ERR2729901,ERR2729902,ERR2729903,ERR2729904,ERR2729905,ERR2729906,ERR2729907,ERR2729908,ERR2729909,ERR2729910,ERR2729911,ERR2729912,ERR2729913,ERR2729914,ERR2729915,ERR2729916,ERR2729917,ERR2729918,ERR2729919,ERR2729920,ERR2729921,ERR2729922,ERR2729923,ERR2729924,ERR2729925,ERR2729926,ERR2729927,ERR2729928,ERR2729929,ERR2729930,ERR2729931,ERR2729932,ERR2729933,ERR2729934,ERR2729935,ERR2729936,ERR2729937,ERR2729938,ERR2729939,ERR2729940,ERR2729941,ERR2729942,ERR2729943,ERR2729944,ERR2729945,ERR2729946,ERR2729947,ERR2729948,ERR2729949,ERR2729950,ERR2729951,ERR2729952,ERR2729953,ERR2729954,ERR2729955,ERR2729956,ERR2729957,ERR2729958,ERR2729959,ERR2729960,ERR2729961,ERR2729962,ERR2729963,ERR2729964,ERR2729965,ERR2729966,ERR2729967,ERR2729968,ERR2729969,ERR2729970,ERR2729971,ERR2729972,ERR2088984,ERR2088985,ERR2088986,ERR2088987,ERR2088988,ERR2088989,ERR2088990,ERR2088991,ERR2088992,ERR2088993,ERR2088994,ERR2088995,ERZ764804,ERZ778036,ERZ778037,ERZ778038,ERZ795029,ERZ795030,ERZ795049,ERZ795053,ERZ795056,ERZ795058,ERZ795059,ERZ795060,ERZ795066,ERZ795067,ERZ795076,ERZ795381,ERZ795009,ERZ795010,ERZ781404,ERZ781406,ERZ781405,ERZ782916,ERZ782915,ERZ782927,ERZ782929,ERZ782928,ERZ782923,ERZ782930,ERZ782925,ERZ782926,ERZ782924,ERZ794912,ERZ794919,ERZ794932,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794921,ERZ794930,ERZ794931,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584,ERR1076078,ERR1356697,ERR1356701,ERR1356704,ERR1356734,ERR1356738,ERR1356743,ERR1356695,ERR1356699,ERR1356736,ERR1356745,ERR1356748,ERR1356751,ERR1356693,ERR1356710,ERR1356712,ERR1356717,ERR1356753,ERR1356714,ERR1356719,ERR1356720,ERR1356723,ERR1356725,ERR1356728,ERR1356727,ERR1356731,ERR1356733,ERR1356761,ERR1356762,ERR1356703,ERR1356707,ERR1356740,ERR1356754,ERR1356756,ERR1356759,ERR1356708,ERR1356746,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278
OTU1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,107,105,0,1,0,1,1,1,0,1,59,0,0,52,0,60,0,0,0,2,0,0,2,0,8,2,0,0,0,0,0,2,23,0,0,2,57,0,1,27,8,10,31,41,43,78,64,78,78,1,6,1,1,3,12,11,1,4,3,350,381,370,418,361,799,631,4,6,10,7,0,0,2,1,3,1,2,5,0,1,0,0,0,3,0,0,0,0,0,0,16,15,85,72,7,12,129,141,10,5,2,6,7,9,1135,18,9,7,19
OTU3,1,0,0,0,1,0,8,12,16,24,13,9,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,2,3,0,10,3,6,4,10,1,8,3,8,1,31,2,24,5,48,3,33,6,10,0,15,0,12,0,9,0,12,0,12,2,24,0,24,1,29,0,174,1,162,2,180,1,292,3,203,0,245,1,494,4,405,6,321,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,2,7,3,5,2,6,3,5,7,15,5,29,6,33,13,28,6,14,1,8,0,7,0,14,0,11,0,9,0,48,2,21,0,34,0,111,2,76,3,93,4,142,3,136,2,133,6,251,4,154,3,193,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,8,6,0,0,0,1,0,0,0,3,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,3,0,1,0,0,2,1,2,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,3,3,4,2,10,4,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
OTU4,0,0,0,0,1,0,0,0,0,15,9,2,1,0,2,0,4,0,0,0,1,0,0,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,5,0,5,0,1,0,0,0,1,0,0,0,1,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,8,0,0,13,12,5,10,10,3,12,6,12,8,5,11,7,22,20,19,7,29,18,21,29,15,18,20,18,34,28,31,34,28,25,32,28,42,22,28,1127,12,822,8,941,16,395,3,279,6,324,6,248,13,179,8,212,15,185,23,137,15,156,29,111,23,82,19,70,26,95,2,52,21,53,22,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,6,1450,1298,1145,1,147,37,29,27,24,32,61,142,6,17,35,30,226,1,3,23,24,0,14,18,17,12,52,25,23,17,5,29,29,16,29,31,11,89,22,55,148,220,12,200,106,138,29,23,31,31,9,12,12,14,12,6,4,8,5,27,84,90,95,93,44,68,94,2,0,4,1,668,791,384,347,590,909,414,484,398,464,839,1153,735,614,866,562,876,673,510,562,7,8,40,38,0,7,58,42,28,6,7,147,160,179,91,248,129,232,279
OTU5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,32,0,38,0,17,0,19,0,13,0,9,0,9,0,6,0,17,0,28,0,19,0,5,0,6,1,14,0,23,0,14,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,25,0,21,0,8,1,16,0,8,0,11,0,8,0,7,0,6,0,9,0,15,0,12,0,7,0,7,0,2,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,16,1058,856,837,9,20,2,0,6,5,1,9,10,6,0,2,0,15,2,0,2,1,1,2,7,6,4,1,1,4,2,0,3,2,2,25,0,2,2,2,20,18,4,6,18,8,13,25,18,26,30,11,5,12,7,12,21,11,7,0,4,21,26,40,27,21,29,29,5,7,8,14,6,6,4,3,5,6,2,2,0,7,11,7,2,17,13,0,3,2,15,6,0,0,9,8,0,0,4,11,31,13,3,3,2,6,26,3,2,6,8
OTU6,1,0,0,0,0,0,5,18,13,9,4,5,1,3,0,1,1,2,2,8,2,3,0,3,3,3,2,2,2,1,4,1,1,1,0,2,1,0,1,1,1,1,2,2,4,5,4,2,47,0,51,4,57,0,29,0,34,0,21,0,19,0,27,0,19,0,24,0,24,0,29,1,37,0,33,0,58,4,66,1,51,3,21,3,0,0,0,0,0,2,1,2,1,1,1,15,0,20,4,15,2,4,3,3,7,4,1,4,0,3,5,4,1,3,0,7,0,9,4,5,1,10,2,3,32,2,38,0,33,0,29,6,32,3,32,3,40,2,32,2,42,1,28,9,29,6,30,4,49,14,60,6,57,12,101,8,59,10,52,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,13,1146,998,842,5,18,7,12,0,3,7,64,320,6,7,20,0,342,0,1,2,4,28,36,21,29,12,7,2,8,14,4,3,3,2,6,14,12,85,20,30,7,2,9,9,10,3,8,11,8,14,6,1,8,3,14,0,4,2,2,3,1,1,3,1,5,2,0,0,1,2,3,4,7,4,3,3,6,0,1,0,7,0,19,10,3,13,2,6,2,1,4,0,0,11,0,0,5,5,11,6,4,2,1,4,9,1,6,6,2,4
OTU7,1,1,2,1,1,0,0,0,0,12,4,10,1271,244,1123,187,1185,188,1082,706,1692,799,1393,880,2749,429,4805,506,4064,404,4620,2095,4849,1892,4859,2005,3369,701,6300,702,5013,762,3333,2112,5124,1818,4726,1975,88,80,87,75,87,119,148,593,119,605,151,712,213,135,298,184,239,215,7440,1053,5732,555,5958,1143,4457,289,3108,299,3815,396,3396,924,2626,783,2406,1098,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,1,4,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,8,0,7,0,8,0,5,0,4,0,1,0,3,0,6,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,1,342,237,247,1,6,0,2,4,0,0,6,4,0,0,0,0,12,1,0,0,0,0,0,0,6,1,0,13,10,1,0,0,0,0,1,1,0,0,3,0,5,4,0,6,4,6,8,5,7,10,2,0,1,2,2,7,7,0,2,0,6,11,13,11,30,67,53,0,1,0,2,0,1,1,2,6,1,4,2,8,5,6,7,4,0,14,5,4,7,10,7,0,0,11,2,0,0,11,3,0,11,6,4,0,4,68,8,6,4,5
OTU8,1,0,0,0,0,0,0,0,0,0,0,0,6,3,5,2,3,3,8,0,8,2,11,2,7,1,1,3,3,0,7,1,2,0,0,0,0,0,2,0,1,2,0,0,3,0,0,2,28,0,25,3,21,1,1,0,5,0,3,4,0,0,3,2,3,0,1,0,4,0,3,0,1,1,1,1,4,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,1,1,2,0,1,0,0,2,1,0,0,1,0,0,1,1,0,0,3,0,2,0,0,1,0,2,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,1,1
OTU9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10,1,0,0,0,0,0,0,0,0,0,1,0,9,1,7,1,2,0,8,0,6,0,8,0,7,2,12,3,16,0,55,0,34,2,37,3,8,3,10,1,15,3,9,1,5,2,3,0,475,1,541,5,538,1,188,3,162,3,161,1,90,1,105,3,84,9,346,7,259,0,241,8,188,8,154,11,191,11,151,2,124,3,99,3,0,0,0,0,5,1,0,0,1,1,6,2,6,0,3,1,3,3,5,0,5,3,8,6,13,5,14,1,6,4,11,3,5,2,9,2,6,1,5,2,480,3,405,2,416,2,255,1,190,3,192,1,137,3,84,2,104,4,266,11,168,4,238,9,216,5,165,6,132,1,157,7,87,6,110,6,0,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
