OTU,phylum,kingdom
OTU1,Thaumarchaeota,Unassigned
OTU2,Acidobacteria,Unassigned
OTU3,Actinobacteria,Unassigned
OTU4,Armatimonadetes,Unassigned
OTU5,Bacteroidetes,Unassigned
OTU6,Balneolaeota,Unassigned
OTU7,Caldiserica,Unassigned
OTU8,Chlorobi,Unassigned
OTU9,Chloroflexi,Unassigned
OTU10,Elusimicrobia,Unassigned
OTU11,Fibrobacteres,Unassigned
OTU12,Firmicutes,Unassigned
OTU13,Fusobacteria,Unassigned
OTU14,Gemmatimonadetes,Unassigned
OTU15,Ignavibacteriae,Unassigned
OTU16,Kiritimatiellaeota,Unassigned
OTU17,Nitrospirae,Unassigned
OTU18,Planctomycetes,Unassigned
OTU19,Proteobacteria,Unassigned
OTU20,Spirochaetes,Unassigned
OTU21,Synergistetes,Unassigned
OTU22,Tenericutes,Unassigned
OTU23,Verrucomicrobia,Unassigned
OTU24,Ascomycota,Fungi
OTU25,Arthropoda,Metazoa
OTU26,Rotifera,Metazoa
OTU27,Cercozoa,Unassigned
OTU28,Ciliophora,Unassigned
OTU29,Euglenozoa,Unassigned
OTU30,Tubulinea,Unassigned
OTU31,Streptophyta,Viridiplantae
OTU32,Crenarchaeota,Archaea
OTU33,Euryarchaeota,Archaea
OTU34,Calditrichaeota,Bacteria
OTU35,Chlamydiae,Bacteria
OTU36,Cyanobacteria,Bacteria
OTU37,Nitrospinae,Bacteria
OTU38,Thermotogae,Bacteria
OTU39,Annelida,Eukaryota
OTU40,Apicomplexa,Eukaryota
OTU41,Bacillariophyta,Eukaryota
OTU42,Basidiomycota,Eukaryota
OTU43,Blastocladiomycota,Eukaryota
OTU44,Chlorophyta,Eukaryota
OTU45,Chordata,Eukaryota
OTU46,Chytridiomycota,Eukaryota
OTU47,Cnidaria,Eukaryota
OTU48,Colponemidia,Eukaryota
OTU49,Cryptomycota,Eukaryota
OTU50,Euglenida,Eukaryota
OTU51,Mollusca,Eukaryota
OTU52,Mucoromycota,Eukaryota
OTU53,Nematoda,Eukaryota
OTU54,Phaeophyceae,Eukaryota
OTU55,Platyhelminthes,Eukaryota
OTU56,Porifera,Eukaryota
OTU57,Tardigrada,Eukaryota
OTU58,Xenacoelomorpha,Eukaryota
OTU59,Aquificae,Bacteria
OTU60,Chrysiogenetes,Bacteria
OTU61,Deferribacteres,Bacteria
OTU62,Lentisphaerae,Bacteria
OTU63,Thermodesulfobacteria,Bacteria
OTU64,Brachiopoda,Eukaryota
OTU65,Echinodermata,Eukaryota
OTU66,Haplosporidia,Eukaryota
OTU67,Picozoa,Eukaryota
OTU68,Zoopagomycota,Eukaryota
OTU69,Dictyoglomi,Bacteria
OTU70,Gastrotricha,Eukaryota
OTU71,Parvarchaeota,Archaea
OTU72,Caldithrix,Bacteria
OTU73,Thermi,Bacteria
OTU74,Poribacteria,Bacteria
