OTU,OFEK01,ERZ724020,ERR977407,ERR977409,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977411,ERR977415,ERR977417,ERR977421,ERR1352952,ERR1352953,ERR1352956,ERR1352957,ERR1352959,ERR1352962,ERR1352903,ERR1352906,ERR1352908,ERR1352909,ERR1352932,ERR1352934,ERR1352935,ERR1352937,ERR1352940,ERR1352942,ERR1352943,ERR1352946,ERR1352912,ERR1352913,ERR1352928,ERR1352929,ERR1352947,ERR1352950,ERR1352916,ERR1352918,ERR1352920,ERR1352921,ERR1352924,ERR1352925
OTU1,3,1,0,2,2,0,0,4,0,0,0,0,0,1,0,0,7,0,16,0,0,0,0,4,16,0,0,0,7,0,0,4,1,1,10,1,1,0,0,2,0,0,6,0,4,1
OTU2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6,2,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,2,7,0,11,0,0,0,1,0,0,0,16,0,0,0,0,2,3,4,3,0,0,2
OTU7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9,2,0,0,1,0,0,24,10,0,0,0,0,0,0,0,10,42,4,11,26,0,4,2,55,27,7,22,8,1,7,11,2,1,13,9,2,10,0,2,11,1,11,19,10,28,1
OTU10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,16,0,0,0,0,1,16,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
OTU12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,47,2,0,0,0,0,0,0,8,2,0,2,2,0,0,1,5,0,2,1,0,1,0,0,1,0,3,2,0,2,0
OTU13,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,9,1,0,1,0,0,4,2,2,2,2,1,0,1,0,0,0,0,0,3,0,0,2,4,2,0,3,1,0,1
OTU14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
