OTU,phylum,OFEK01,ERZ724020,ERR977407,ERR977409,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977411,ERR977415,ERR977417,ERR977421,ERR1352952,ERR1352953,ERR1352956,ERR1352957,ERR1352959,ERR1352962,ERR1352903,ERR1352906,ERR1352908,ERR1352909,ERR1352932,ERR1352934,ERR1352935,ERR1352937,ERR1352940,ERR1352942,ERR1352943,ERR1352946,ERR1352912,ERR1352913,ERR1352928,ERR1352929,ERR1352947,ERR1352950,ERR1352916,ERR1352918,ERR1352920,ERR1352921,ERR1352924,ERR1352925
OTU1,Euryarchaeota,10,10,1,3,5,10,3,63,0,0,0,0,10,14,0,11,360,11,3877,25,1,27,3,229,3977,0,29,7,9,3,24,1195,2,25,58,3,42,3,5,23,73,20,840,1,167,3
OTU2,Acidobacteria,1,3,24,81,26,313,318,391,1,0,0,0,71,175,434,184,342,209,38,195,7,33,71,500,149,67,147,47,46,325,111,112,114,16,129,94,90,25,135,95,5,944,320,260,229,133
OTU3,Armatimonadetes,1,0,1,3,2,5,22,16,0,0,0,0,8,10,40,28,25,9,1,6,1,3,2,93,25,1,8,5,11,29,14,25,6,5,27,5,10,0,15,6,182,115,32,32,26,8
OTU4,Bacteroidetes,12,23,43,163,116,547,649,1830,0,0,0,0,552,249,297,5274,3776,1388,766,2387,7531,619,709,3746,1735,1427,894,773,423,2439,706,916,2206,1398,1476,1011,591,2062,1262,658,926,2045,1455,1983,1618,1449
OTU5,Caldiserica,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,1,4,46,4,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,0,0,3,0
OTU6,Chloroflexi,2,12,85,324,169,1252,3265,2777,0,0,0,0,502,1369,218,209,362,431,1222,654,112,140,57,639,1636,193,96,152,93,701,182,126,133,266,283,93,424,82,211,139,111,182,802,215,338,457
OTU7,Elusimicrobia,2,0,0,0,0,3,8,28,0,0,0,0,1,2,71,12,0,1,0,1,0,0,0,8,0,2,0,0,3,4,1,0,0,1,5,2,2,0,0,0,0,2,1,3,8,12
OTU8,Firmicutes,8,37,32,114,105,426,709,1667,2,3,5,3,57,239,11,22,13055,561,20558,742,3342,4352,367,37821,27803,377,40938,5812,198,785,7648,54262,973,6607,8107,514,6053,412,304,8095,2622,11655,3332,540,14197,279
OTU9,Gemmatimonadetes,1,0,6,21,10,86,67,160,0,0,0,0,26,11,132,44,12,12,14,41,3,10,7,89,27,54,25,10,13,36,14,30,126,1,24,16,4,18,3,12,0,8,48,75,43,15
OTU10,Ignavibacteriae,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
