OTU,phylum,ERZ794912,ERZ794919,ERZ794932,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794921,ERZ794930,ERZ794931,ERZ781404,ERZ781406,ERZ781405,ERZ795076,ERZ795381,ERZ764804,ERZ778038,ERZ795053,ERZ795067,ERZ795009,ERZ795010,ERZ782916,ERZ782915,ERZ782927,ERZ782929,ERZ782928,ERZ782923,ERZ782930,ERZ782925,ERZ782926,ERZ782924,ERZ1764620,ERZ1764613,ERZ1764614,ERZ1764618,ERZ1764622,ERZ1764624,ERZ778037,ERZ795030,ERZ795049,ERZ795058,ERZ795060,ERZ778036,ERZ795029,ERZ795056,ERZ795059,ERZ795066
OTU1,Euryarchaeota,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,4,7,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,6,5,3,3,5,5,10
OTU2,Acidobacteria,1,0,1,5,3,2,3,6,3,0,1,4,1,2,2,5,4,3,7,1,0,3,2,0,0,0,0,0,0,0,0,0,0,16,2,2,0,18,13,7,5,5,3,5,0,0,3,5,2
OTU3,Actinobacteria,8,7,2,10,5,1,3,6,10,8,3,1,3,2,2,19,9,2,7,14,19,0,0,2,2,1,1,2,0,1,1,2,2,45,2,9,4,21,24,13,1,1,1,3,8,7,1,3,7
OTU4,Armatimonadetes,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,4,2,2,0,0,0
OTU5,Bacteroidetes,3,10,7,15,5,17,7,6,23,20,14,8,4,5,3,10,5,24,27,39,7,12,3,5,4,5,6,2,2,8,8,4,8,50,0,5,12,10,9,22,25,29,21,20,15,19,54,27,18
OTU6,Chlamydiae,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
OTU7,Chlorobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8,Chloroflexi,8,9,5,14,20,5,5,13,3,1,10,9,2,3,2,19,1,10,8,14,2,13,4,0,0,0,0,0,0,0,0,0,0,23,4,7,9,18,13,22,12,12,9,3,2,2,8,5,19
OTU9,Cyanobacteria,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU10,Firmicutes,1,1,0,3,4,0,2,1,4,8,0,0,0,0,0,11,30,23,34,27,13,0,0,0,0,2,1,1,2,3,1,1,0,25,1,8,8,6,9,11,19,15,21,41,47,49,10,15,63
