OTU,phylum,kingdom
OTU1,Euryarchaeota,Archaea
OTU2,Acidobacteria,Bacteria
OTU3,Actinobacteria,Bacteria
OTU4,Armatimonadetes,Bacteria
OTU5,Bacteroidetes,Bacteria
OTU6,Chlamydiae,Bacteria
OTU7,Chlorobi,Bacteria
OTU8,Chloroflexi,Bacteria
OTU9,Cyanobacteria,Bacteria
OTU10,Firmicutes,Bacteria
OTU11,Fusobacteria,Bacteria
OTU12,Gemmatimonadetes,Bacteria
OTU13,Ignavibacteriae,Bacteria
OTU14,Kiritimatiellaeota,Bacteria
OTU15,Nitrospirae,Bacteria
OTU16,Planctomycetes,Bacteria
OTU17,Proteobacteria,Bacteria
OTU18,Spirochaetes,Bacteria
OTU19,Verrucomicrobia,Bacteria
OTU20,Cryptomycota,Eukaryota
OTU21,Euglenida,Eukaryota
OTU22,Nematoda,Eukaryota
OTU23,Rotifera,Eukaryota
OTU24,Streptophyta,Eukaryota
OTU25,Ascomycota,Eukaryota
OTU26,Basidiomycota,Eukaryota
OTU27,Chordata,Eukaryota
OTU28,Synergistetes,Bacteria
OTU29,Dictyoglomi,Bacteria
OTU30,Thermotogae,Bacteria
OTU31,Caldiserica,Bacteria
OTU32,Tenericutes,Bacteria
OTU33,Elusimicrobia,Bacteria
OTU34,Fibrobacteres,Bacteria
OTU35,Gastrotricha,Eukaryota
OTU36,Thaumarchaeota,Unassigned
OTU37,Balneolaeota,Unassigned
OTU38,Arthropoda,Metazoa
OTU39,Cercozoa,Unassigned
OTU40,Ciliophora,Unassigned
OTU41,Euglenozoa,Unassigned
OTU42,Tubulinea,Unassigned
OTU43,Crenarchaeota,Archaea
OTU44,Calditrichaeota,Bacteria
OTU45,Lentisphaerae,Bacteria
