assembly_run_ids,study_id
ERZ794912,MGYS00002058
ERZ794919,MGYS00002058
ERZ794932,MGYS00002058
ERZ794914,MGYS00002058
ERZ794915,MGYS00002058
ERZ794916,MGYS00002058
ERZ794917,MGYS00002058
ERZ794918,MGYS00002058
ERZ794920,MGYS00002058
ERZ794921,MGYS00002058
ERZ794930,MGYS00002058
ERZ794931,MGYS00002058
ERZ781404,MGYS00005011
ERZ781406,MGYS00005011
ERZ781405,MGYS00005011
ERZ795076,MGYS00004949
ERZ795381,MGYS00004983
ERZ764804,MGYS00003395
ERZ778038,MGYS00004767
ERZ795053,MGYS00004926
ERZ795067,MGYS00004940
ERZ795009,MGYS00005006
ERZ795010,MGYS00005006
ERZ782916,MGYS00005025
ERZ782915,MGYS00005025
ERZ782927,MGYS00005025
ERZ782929,MGYS00005025
ERZ782928,MGYS00005025
ERZ782923,MGYS00005025
ERZ782930,MGYS00005025
ERZ782925,MGYS00005025
ERZ782926,MGYS00005025
ERZ782924,MGYS00005025
ERZ1764620,MGYS00005802
ERZ1764613,MGYS00005802
ERZ1764614,MGYS00005802
ERZ1764618,MGYS00005802
ERZ1764622,MGYS00005802
ERZ1764624,MGYS00005802
ERZ778037,MGYS00004766
ERZ795030,MGYS00004911
ERZ795049,MGYS00004922
ERZ795058,MGYS00004931
ERZ795060,MGYS00004933
ERZ778036,MGYS00004765
ERZ795029,MGYS00004910
ERZ795056,MGYS00004929
ERZ795059,MGYS00004932
ERZ795066,MGYS00004939
