OTU,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584,ERR1076078,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220
OTU1,0,0,0,3,2,3,0,0,2,0,6,1,0,0,0,0,0,2,4,9,7,7,3,7,7,1,2,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,12,2,0,0,0,0,0,0,0,0,3,0,2,4,0,0,0,5,0,0,3,1,0,0,0,0,0,0
OTU2,0,1,1,126,97,90,0,23,8,0,16,14,11,2,11,8,4,4,12,16,17,15,12,9,8,5,4,7,4,13,15,8,39,11,9,8,8,10,12,3,1,3,3,6,16,21,6,4,14,21,10,30,4,19,10,9,6,3,0,0,9,0,0,0,10,2,0,9,2,8,5,8,20,32,21,34,39,0,0,0,0,0,2
OTU3,0,0,0,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU4,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5,0,0,0,0,0,1,0,1,1,0,0,2,3,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
OTU6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,3,6,2,1,5,20,14,6,0,0,0,0,0,0,0,8,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,1,10,4,3,0,0,0,0,0,0,0,4,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8,0,0,0,0,1,3,0,0,1,0,2,1,0,0,0,1,0,60,48,61,36,55,83,72,59,48,55,1,0,0,3,1,2,1,347,338,470,440,0,0,0,0,0,0,0,0,14,11,1,0,0,0,2,0,0,0,20,18,0,0,0,0,0,0,0,0,0,91,58,0,0,1,2,13,15,7,9,0,0,0,0,0,0
OTU9,0,0,0,11,5,7,0,7,1,11,10,4,8,3,5,1,6,130,147,132,94,121,78,96,95,79,70,2,0,0,1,0,2,1,113,118,148,150,0,0,0,0,2,2,1,6,3,5,0,3,3,5,4,5,2,4,9,4,0,0,0,0,0,11,1,1,9,90,56,0,2,9,6,8,10,3,8,1,0,0,1,0,0
OTU10,0,0,0,105,119,102,2,9,15,6,17,10,13,9,4,2,2,841,956,704,484,898,286,370,129,97,120,7,1,0,8,1,4,5,803,953,1198,1106,2,1,1,4,5,8,22,12,6,5,0,5,6,0,14,8,6,21,0,4,0,0,2,5,8,3,1,10,17,354,79,12,13,13,6,11,10,11,9,0,0,0,0,0,0
OTU11,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU12,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
OTU13,0,0,0,46,54,52,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0
OTU14,2,0,0,181,181,178,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU15,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3,4,4,2,11,4,19,12,7,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU17,0,0,2,103,107,105,0,27,8,10,31,41,43,78,64,78,78,1,6,1,1,3,12,11,1,4,3,350,381,370,418,361,799,631,4,6,10,7,0,0,2,1,3,1,2,5,0,1,0,0,0,3,0,0,0,0,0,0,16,15,85,72,7,12,129,141,10,5,2,6,7,9,1135,18,9,7,19,0,0,0,0,0,0
OTU18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,11,16,16,8
OTU19,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU21,0,0,0,11,8,6,0,1,0,0,2,1,2,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,3,3,4,2,10,4,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,12,16,24,13,9
OTU22,0,0,0,47,38,31,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,1,1,5,12,3,0,4,4,4,7,5,1,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,3,2,6,0,0,0,0,0,0
OTU23,0,2,4,183,172,143,2,28,43,1,48,24,20,14,9,18,13,7,9,6,6,11,12,11,7,2,11,13,21,21,14,11,12,14,4,2,8,7,65,52,49,18,70,97,34,51,29,38,50,87,39,36,79,26,61,99,40,36,0,0,9,9,0,0,3,8,1,12,4,27,39,56,15,78,31,68,65,0,0,0,2,5,0
OTU24,0,0,0,19,15,20,0,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,7,1,5,1,0,4,14,0,6,2,0,4,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,2,2,0,4,0,0,0,0,0,0
OTU25,0,0,0,1,0,2,0,1,0,0,2,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU26,0,0,0,4,2,2,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,2,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,1,1,3,0,0,0,0,0,0,0
OTU27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU28,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU31,0,0,0,3,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU32,0,0,0,11,13,11,0,4,2,0,4,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,7,10,2,4,2,2,1,7,5,5,4,0,7,0,1,3,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,2,2,1,0,0,0,0,0,0
OTU33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU34,0,0,0,4,4,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,4,3,0,2,2,2,0,2,1,0,0,0,0,3,3,4,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0
