assembly_run_ids,study_id
ERR1356697,MGYS00000823
ERR1356701,MGYS00000823
ERR1356704,MGYS00000823
ERR1356734,MGYS00000823
ERR1356738,MGYS00000823
ERR1356743,MGYS00000823
ERR1356695,MGYS00000823
ERR1356699,MGYS00000823
ERR1356736,MGYS00000823
ERR1356745,MGYS00000823
ERR1356748,MGYS00000823
ERR1356751,MGYS00000823
ERR1356693,MGYS00000823
ERR1356710,MGYS00000823
ERR1356712,MGYS00000823
ERR1356717,MGYS00000823
ERR1356753,MGYS00000823
ERR1356714,MGYS00000823
ERR1356719,MGYS00000823
ERR1356720,MGYS00000823
ERR1356723,MGYS00000823
ERR1356725,MGYS00000823
ERR1356728,MGYS00000823
ERR1356727,MGYS00000823
ERR1356731,MGYS00000823
ERR1356733,MGYS00000823
ERR1356761,MGYS00000823
ERR1356762,MGYS00000823
ERR1356703,MGYS00000823
ERR1356707,MGYS00000823
ERR1356740,MGYS00000823
ERR1356754,MGYS00000823
ERR1356756,MGYS00000823
ERR1356759,MGYS00000823
ERR1356708,MGYS00000823
ERR1356746,MGYS00000823
ERR2729815,MGYS00001910
ERR2729816,MGYS00001910
ERR2729817,MGYS00001910
ERR2729818,MGYS00001910
ERR2729819,MGYS00001910
ERR2729820,MGYS00001910
ERR2729821,MGYS00001910
ERR2729822,MGYS00001910
ERR2729823,MGYS00001910
ERR2729824,MGYS00001910
ERR2729825,MGYS00001910
ERR2729826,MGYS00001910
ERR2729827,MGYS00001910
ERR2729828,MGYS00001910
ERR2729829,MGYS00001910
ERR2729830,MGYS00001910
ERR2729831,MGYS00001910
ERR2729832,MGYS00001910
ERR2729833,MGYS00001910
ERR2729834,MGYS00001910
ERR2729835,MGYS00001910
ERR2729836,MGYS00001910
ERR2729837,MGYS00001910
ERR2729838,MGYS00001910
ERR2729839,MGYS00001910
ERR2729840,MGYS00001910
ERR2729841,MGYS00001910
ERR2729842,MGYS00001910
ERR2729843,MGYS00001910
ERR2729844,MGYS00001910
ERR2729845,MGYS00001910
ERR2729846,MGYS00001910
ERR2729847,MGYS00001910
ERR2729848,MGYS00001910
ERR2729849,MGYS00001910
ERR2729850,MGYS00001910
ERR2729851,MGYS00001910
ERR2729852,MGYS00001910
ERR2729853,MGYS00001910
ERR2729854,MGYS00001910
ERR2729855,MGYS00001910
ERR2729856,MGYS00001910
ERR2729857,MGYS00001910
ERR2729858,MGYS00001910
ERR2729859,MGYS00001910
ERR2729860,MGYS00001910
ERR2729861,MGYS00001910
ERR2729862,MGYS00001910
ERR2729863,MGYS00001910
ERR2729864,MGYS00001910
ERR2729865,MGYS00001910
ERR2729866,MGYS00001910
ERR2729867,MGYS00001910
ERR2729868,MGYS00001910
ERR2729869,MGYS00001910
ERR2729870,MGYS00001910
ERR2729871,MGYS00001910
ERR2729872,MGYS00001910
ERR2729873,MGYS00001910
ERR2729874,MGYS00001910
ERR2729875,MGYS00001910
ERR2729876,MGYS00001910
ERR2729877,MGYS00001910
ERR2729878,MGYS00001910
ERR2729879,MGYS00001910
ERR2729880,MGYS00001910
ERR2729881,MGYS00001910
ERR2729882,MGYS00001910
ERR2729883,MGYS00001910
ERR2729884,MGYS00001910
ERR2729885,MGYS00001910
ERR2729886,MGYS00001910
ERR2729887,MGYS00001910
ERR2729888,MGYS00001910
ERR2729889,MGYS00001910
ERR2729890,MGYS00001910
ERR2729891,MGYS00001910
ERR2729892,MGYS00001910
ERR2729893,MGYS00001910
ERR2729894,MGYS00001910
ERR2729895,MGYS00001910
ERR2729896,MGYS00001910
ERR2729897,MGYS00001910
ERR2729898,MGYS00001910
ERR2729899,MGYS00001910
ERR2729900,MGYS00001910
ERR2729901,MGYS00001910
ERR2729902,MGYS00001910
ERR2729903,MGYS00001910
ERR2729904,MGYS00001910
ERR2729905,MGYS00001910
ERR2729906,MGYS00001910
ERR2729907,MGYS00001910
ERR2729908,MGYS00001910
ERR2729909,MGYS00001910
ERR2729910,MGYS00001910
ERR2729911,MGYS00001910
ERR2729912,MGYS00001910
ERR2729913,MGYS00001910
ERR2729914,MGYS00001910
ERR2729915,MGYS00001910
ERR2729916,MGYS00001910
ERR2729917,MGYS00001910
ERR2729918,MGYS00001910
ERR2729919,MGYS00001910
ERR2729920,MGYS00001910
ERR2729921,MGYS00001910
ERR2729922,MGYS00001910
ERR2729923,MGYS00001910
ERR2729924,MGYS00001910
ERR2729925,MGYS00001910
ERR2729926,MGYS00001910
ERR2729927,MGYS00001910
ERR2729928,MGYS00001910
ERR2729929,MGYS00001910
ERR2729930,MGYS00001910
ERR2729931,MGYS00001910
ERR2729932,MGYS00001910
ERR2729933,MGYS00001910
ERR2729934,MGYS00001910
ERR2729935,MGYS00001910
ERR2729936,MGYS00001910
ERR2729937,MGYS00001910
ERR2729938,MGYS00001910
ERR2729939,MGYS00001910
ERR2729940,MGYS00001910
ERR2729941,MGYS00001910
ERR2729942,MGYS00001910
ERR2729943,MGYS00001910
ERR2729944,MGYS00001910
ERR2729945,MGYS00001910
ERR2729946,MGYS00001910
ERR2729947,MGYS00001910
ERR2729948,MGYS00001910
ERR2729949,MGYS00001910
ERR2729950,MGYS00001910
ERR2729951,MGYS00001910
ERR2729952,MGYS00001910
ERR2729953,MGYS00001910
ERR2729954,MGYS00001910
ERR2729955,MGYS00001910
ERR2729956,MGYS00001910
ERR2729957,MGYS00001910
ERR2729958,MGYS00001910
ERR2729959,MGYS00001910
ERR2729960,MGYS00001910
ERR2729961,MGYS00001910
ERR2729962,MGYS00001910
ERR2729963,MGYS00001910
ERR2729964,MGYS00001910
ERR2729965,MGYS00001910
ERR2729966,MGYS00001910
ERR2729967,MGYS00001910
ERR2729968,MGYS00001910
ERR2729969,MGYS00001910
ERR2729970,MGYS00001910
ERR2729971,MGYS00001910
ERR2729972,MGYS00001910
ERR2088984,MGYS00001910
ERR2088985,MGYS00001910
ERR2088986,MGYS00001910
ERR2088987,MGYS00001910
ERR2088988,MGYS00001910
ERR2088989,MGYS00001910
ERR2088990,MGYS00001910
ERR2088991,MGYS00001910
ERR2088992,MGYS00001910
ERR2088993,MGYS00001910
ERR2088994,MGYS00001910
ERR2088995,MGYS00001910
