OTU,OFEK01,ERZ724020
OTU1,3,1
OTU2,1,0
OTU3,2,0
OTU4,1,0
OTU5,2,1
OTU6,2,3
OTU7,1,0
OTU8,1,0
OTU9,2,0
OTU10,2,0
OTU11,2,2
OTU12,1,0
OTU13,1,0
OTU14,1,0
OTU15,1,0
OTU16,1,0
OTU17,0,1
OTU18,0,1
OTU19,0,1
OTU20,0,2
OTU21,0,1
OTU22,0,1
OTU23,0,1
OTU24,0,3
OTU25,0,1
OTU26,0,1
OTU27,0,3
OTU28,0,1
OTU29,0,1
OTU30,0,2
OTU31,0,1
OTU32,0,1
OTU33,0,1
OTU34,0,1
OTU35,0,1
OTU36,0,1
OTU37,0,2
OTU38,0,1
OTU39,0,1
OTU40,0,1
OTU41,0,1
OTU42,0,1
OTU43,0,1
OTU44,0,1
OTU45,0,1
OTU46,0,1
OTU47,0,1
OTU48,0,3
OTU49,0,1
OTU50,0,1
OTU51,0,1
OTU52,0,1
OTU53,0,1
OTU54,0,1
OTU55,0,1
OTU56,0,2
OTU57,0,1
OTU58,0,1
