OTU,phylum,OFEK01,ERZ724020
OTU1,Euryarchaeota,10,10
OTU2,Acidobacteria,1,3
OTU3,Armatimonadetes,1,0
OTU4,Bacteroidetes,12,23
OTU5,Caldiserica,2,6
OTU6,Chloroflexi,2,12
OTU7,Elusimicrobia,2,0
OTU8,Firmicutes,8,37
OTU9,Gemmatimonadetes,1,0
OTU10,Ignavibacteriae,5,3
OTU11,Planctomycetes,1,6
OTU12,Proteobacteria,9,33
OTU13,Spirochaetes,6,11
OTU14,Synergistetes,1,6
OTU15,Tenericutes,2,0
OTU16,Thermotogae,1,2
OTU17,Verrucomicrobia,2,2
OTU18,Actinobacteria,0,12
OTU19,Chlamydiae,0,2
OTU20,Cyanobacteria,0,1
OTU21,Fusobacteria,0,1
OTU22,Cryptomycota,0,3
OTU23,Nematoda,0,2
