OTU,phylum,kingdom
OTU1,Crenarchaeota,Archaea
OTU2,Euryarchaeota,Archaea
OTU3,Parvarchaeota,Archaea
OTU4,Acidobacteria,Bacteria
OTU5,Actinobacteria,Bacteria
OTU6,Armatimonadetes,Bacteria
OTU7,Bacteroidetes,Bacteria
OTU8,Caldiserica,Bacteria
OTU9,Caldithrix,Bacteria
OTU10,Chlamydiae,Bacteria
OTU11,Chlorobi,Bacteria
OTU12,Chloroflexi,Bacteria
OTU13,Cyanobacteria,Bacteria
OTU14,Deferribacteres,Bacteria
OTU15,Elusimicrobia,Bacteria
OTU16,Fibrobacteres,Bacteria
OTU17,Firmicutes,Bacteria
OTU18,Fusobacteria,Bacteria
OTU19,Gemmatimonadetes,Bacteria
OTU20,Lentisphaerae,Bacteria
OTU21,Nitrospirae,Bacteria
OTU22,Planctomycetes,Bacteria
OTU23,Proteobacteria,Bacteria
OTU24,Spirochaetes,Bacteria
OTU25,Synergistetes,Bacteria
OTU26,Tenericutes,Bacteria
OTU27,Thermi,Bacteria
OTU28,Thermotogae,Bacteria
OTU29,Verrucomicrobia,Bacteria
OTU30,Aquificae,Bacteria
