OTU,phylum,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
OTU1,Euryarchaeota,0,3,0,3,0,0
OTU2,Acidobacteria,0,1,0,0,10,1
OTU3,Actinobacteria,4,8,5,9,11,3
OTU4,Armatimonadetes,0,0,0,0,0,0
OTU5,Bacteroidetes,10,18,30,35,29,4
OTU6,Caldiserica,0,1,0,0,0,0
OTU7,Calditrichaeota,0,0,0,0,0,0
OTU8,Chlamydiae,0,0,0,0,1,0
OTU9,Chloroflexi,0,6,3,2,11,0
OTU10,Cyanobacteria,0,2,0,1,2,0
OTU11,Elusimicrobia,0,0,0,0,0,0
OTU12,Fibrobacteres,0,0,0,1,1,2
OTU13,Firmicutes,0,18,0,23,4,1
OTU14,Fusobacteria,1,4,1,2,0,0
OTU15,Gemmatimonadetes,0,0,0,0,0,0
OTU16,Ignavibacteriae,0,0,2,1,2,0
OTU17,Lentisphaerae,0,0,0,0,0,0
OTU18,Nitrospirae,0,1,1,1,1,1
OTU19,Planctomycetes,0,4,1,0,5,0
OTU20,Proteobacteria,26,32,28,47,49,38
OTU21,Spirochaetes,0,3,0,4,2,0
OTU22,Synergistetes,0,2,0,1,0,0
OTU23,Tenericutes,0,0,0,0,0,1
OTU24,Thermotogae,0,0,0,2,0,0
OTU25,Verrucomicrobia,0,1,3,2,4,1
OTU26,Annelida,0,0,0,0,1,0
OTU27,Arthropoda,0,0,0,0,0,1
OTU28,Ascomycota,0,0,0,0,0,0
OTU29,Basidiomycota,0,0,0,0,0,0
OTU30,Cryptomycota,0,0,0,0,1,0
OTU31,Euglenida,0,1,0,0,0,2
OTU32,Nematoda,2,0,0,2,0,1
OTU33,Rotifera,0,0,0,1,0,0
