OTU,phylum,kingdom
OTU1,Acidobacteria,Bacteria
OTU2,Actinobacteria,Bacteria
OTU3,Armatimonadetes,Bacteria
OTU4,Bacteroidetes,Bacteria
OTU5,Chlamydiae,Bacteria
OTU6,Chlorobi,Bacteria
OTU7,Chloroflexi,Bacteria
OTU8,Cyanobacteria,Bacteria
OTU9,Firmicutes,Bacteria
OTU10,Gemmatimonadetes,Bacteria
OTU11,Nitrospirae,Bacteria
OTU12,Planctomycetes,Bacteria
OTU13,Proteobacteria,Bacteria
OTU14,Spirochaetes,Bacteria
OTU15,Verrucomicrobia,Bacteria
OTU16,Crenarchaeota,Archaea
OTU17,Euryarchaeota,Archaea
OTU18,Parvarchaeota,Archaea
OTU19,Caldiserica,Bacteria
OTU20,Caldithrix,Bacteria
OTU21,Elusimicrobia,Bacteria
OTU22,Fibrobacteres,Bacteria
OTU23,Fusobacteria,Bacteria
OTU24,Lentisphaerae,Bacteria
OTU25,Synergistetes,Bacteria
OTU26,Tenericutes,Bacteria
OTU27,Thermotogae,Bacteria
OTU28,Deferribacteres,Bacteria
OTU29,Nanoarchaeota,Archaea
OTU30,Thaumarchaeota,Archaea
OTU31,Aquificae,Bacteria
OTU32,Balneolaeota,Bacteria
OTU33,Calditrichaeota,Bacteria
OTU34,Chrysiogenetes,Bacteria
OTU35,Ignavibacteriae,Bacteria
OTU36,Kiritimatiellaeota,Bacteria
OTU37,Nitrospinae,Bacteria
OTU38,Rhodothermaeota,Bacteria
OTU39,Thermodesulfobacteria,Bacteria
OTU40,Annelida,Eukaryota
OTU41,Apicomplexa,Eukaryota
OTU42,Arthropoda,Eukaryota
OTU43,Ascomycota,Eukaryota
OTU44,Bacillariophyta,Eukaryota
OTU45,Basidiomycota,Eukaryota
OTU46,Blastocladiomycota,Eukaryota
OTU47,Brachiopoda,Eukaryota
OTU48,Bryozoa,Eukaryota
OTU49,Chlorophyta,Eukaryota
OTU50,Chordata,Eukaryota
OTU51,Chromerida,Eukaryota
OTU52,Chytridiomycota,Eukaryota
OTU53,Cnidaria,Eukaryota
OTU54,Colponemidia,Eukaryota
OTU55,Cryptomycota,Eukaryota
OTU56,Echinodermata,Eukaryota
OTU57,Entoprocta,Eukaryota
OTU58,Entorrhizomycota,Eukaryota
OTU59,Euglenida,Eukaryota
OTU60,Eustigmatophyceae,Eukaryota
OTU61,Gastrotricha,Eukaryota
OTU62,Gnathostomulida,Eukaryota
OTU63,Haplosporidia,Eukaryota
OTU64,Hemichordata,Eukaryota
OTU65,Microsporidia,Eukaryota
OTU66,Mollusca,Eukaryota
OTU67,Mucoromycota,Eukaryota
OTU68,Nematoda,Eukaryota
OTU69,Phaeophyceae,Eukaryota
OTU70,Picozoa,Eukaryota
OTU71,Pinguiophyceae,Eukaryota
OTU72,Placozoa,Eukaryota
OTU73,Platyhelminthes,Eukaryota
OTU74,Porifera,Eukaryota
OTU75,Priapulida,Eukaryota
OTU76,Rotifera,Eukaryota
OTU77,Streptophyta,Eukaryota
OTU78,Tardigrada,Eukaryota
OTU79,Xanthophyceae,Eukaryota
OTU80,Xenacoelomorpha,Eukaryota
OTU81,Zoopagomycota,Eukaryota
OTU82,Thermi,Bacteria
