OTU,ERR3258496,DRR066655,DRR066667,DRR066657,DRR066668,DRR066659,DRR066660
OTU1,2,0,4,0,5,0,0
OTU2,8,0,0,0,0,0,0
OTU3,2,0,4,0,1,0,0
OTU4,1,0,0,0,0,0,0
OTU5,5,0,1,3,0,0,1
OTU6,62,0,4,0,0,0,0
OTU7,2,16,8,7,3,0,1
OTU8,1,69,0,28,0,0,0
OTU9,1,0,0,0,0,0,0
OTU10,1,21,0,23,0,0,2
OTU11,1,4,0,2,0,0,0
OTU12,2,0,0,0,0,0,0
OTU13,9,0,0,0,0,0,0
OTU14,5,0,0,0,0,0,0
OTU15,23,0,0,0,0,0,0
OTU16,2,0,0,0,0,0,0
OTU17,8,0,0,0,0,0,0
OTU18,3128,7,2,9,0,1,0
OTU19,22,0,0,0,0,0,0
OTU20,55,0,0,0,0,0,0
OTU21,1,0,0,0,0,0,0
OTU22,2,0,0,0,0,0,0
OTU23,3,3,0,0,0,0,0
OTU24,7,0,0,0,0,0,0
OTU25,44,0,0,0,0,0,0
OTU26,8,0,0,0,0,0,0
OTU27,31,0,0,0,0,0,0
OTU28,15,0,0,0,0,0,0
OTU29,38,0,0,0,0,0,0
OTU30,1,0,0,0,0,0,0
OTU31,1,0,0,0,0,0,0
OTU32,1,0,0,0,0,0,0
OTU33,2,0,0,0,0,0,0
OTU34,1,0,0,0,0,0,0
OTU35,2,0,0,0,0,0,0
OTU36,1,0,0,0,0,0,0
OTU37,2,0,0,0,0,0,0
OTU38,65,0,0,0,0,0,0
OTU39,21,0,0,0,0,0,0
OTU40,9,1,0,0,0,0,0
OTU41,1,12412,8,744,224,799,7
OTU42,2,0,0,0,0,0,1
OTU43,15,437,1,17,3,10,3
OTU44,11,343,0,35,4,23,20
OTU45,2,0,0,1,0,2,0
OTU46,249,35,9,21,9,3,4
OTU47,1,0,0,0,0,0,0
OTU48,1,903,27,873,41,189,124
OTU49,2,0,0,0,0,0,0
OTU50,2,8924,86,3929,69,276,540
OTU51,2,0,0,0,0,0,0
OTU52,7,0,0,0,0,0,0
OTU53,25,0,0,0,0,0,0
OTU54,10,0,0,0,0,0,0
OTU55,5,0,0,0,0,0,0
OTU56,1,0,0,0,0,0,0
OTU57,2,0,0,0,0,0,0
OTU58,1,1,0,1,0,0,0
OTU59,13,29,0,31,1,4,2
OTU60,2,1,0,1,0,0,0
OTU61,4,0,0,0,0,0,0
OTU62,1,8,1,11,0,0,2
OTU63,4,0,0,1,0,0,0
OTU64,2,0,0,0,0,0,0
OTU65,1,0,0,0,0,0,0
OTU66,2,0,0,0,0,0,0
OTU67,5,0,0,0,0,0,0
OTU68,23,0,0,0,0,0,0
OTU69,2,0,0,0,0,0,0
OTU70,3,0,0,0,0,0,0
OTU71,15,166,3,194,4,13,21
OTU72,1,0,0,0,0,0,0
OTU73,3,0,0,0,0,0,0
OTU74,1,0,0,0,0,0,0
OTU75,2,0,0,0,0,0,0
OTU76,2,0,0,0,0,0,0
OTU77,3,0,0,0,0,0,0
OTU78,20,0,0,0,0,0,0
OTU79,52,0,0,0,0,0,0
OTU80,2,0,0,0,0,0,0
OTU81,2,0,0,0,0,0,0
OTU82,2,0,0,0,0,0,0
OTU83,4,0,0,0,0,0,0
OTU84,16,0,0,0,0,0,0
OTU85,42,0,0,0,0,0,0
OTU86,17,0,0,0,0,0,0
OTU87,3,0,0,0,0,0,0
OTU88,16,0,0,0,0,0,0
OTU89,4,0,0,0,0,0,0
