OTU,phylum,kingdom
OTU1,Euryarchaeota,Archaea
OTU2,Acidobacteria,Bacteria
OTU3,Actinobacteria,Bacteria
OTU4,Armatimonadetes,Bacteria
OTU5,Bacteroidetes,Bacteria
OTU6,Calditrichaeota,Bacteria
OTU7,Chlamydiae,Bacteria
OTU8,Chlorobi,Bacteria
OTU9,Chloroflexi,Bacteria
OTU10,Cyanobacteria,Bacteria
OTU11,Deferribacteres,Bacteria
OTU12,Elusimicrobia,Bacteria
OTU13,Fibrobacteres,Bacteria
OTU14,Firmicutes,Bacteria
OTU15,Fusobacteria,Bacteria
OTU16,Gemmatimonadetes,Bacteria
OTU17,Ignavibacteriae,Bacteria
OTU18,Kiritimatiellaeota,Bacteria
OTU19,Lentisphaerae,Bacteria
OTU20,Nitrospinae,Bacteria
OTU21,Planctomycetes,Bacteria
OTU22,Proteobacteria,Bacteria
OTU23,Spirochaetes,Bacteria
OTU24,Synergistetes,Bacteria
OTU25,Tenericutes,Bacteria
OTU26,Thermotogae,Bacteria
OTU27,Verrucomicrobia,Bacteria
OTU28,Caldiserica,Bacteria
OTU29,Caldithrix,Bacteria
OTU30,Chrysiogenetes,Bacteria
OTU31,Dictyoglomi,Bacteria
OTU32,Nitrospirae,Bacteria
OTU33,Thermi,Bacteria
