analysis_id,sample_id,assembly_run_id,experiment_type,pipeline_version,instrument_platform,study_id,bioproject,study_name,n_samples,centre_name,biomes
MGYA00571601,ERS3742479,ERZ1505403,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00571602,ERS3742474,ERZ1505402,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00571603,ERS3742480,ERZ1505400,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00572443,ERS3742475,ERZ1505401,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00572444,ERS3742477,ERZ1505399,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00572445,ERS3742476,ERZ1505398,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00572446,ERS3742481,ERZ1505397,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00572447,ERS3742478,ERZ1505396,assembly,5.0,Illumina HiSeq 4000,MGYS00005614,PRJEB39978,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,8,EMG,root:Engineered:Wastewater
MGYA00579309,SRS3323773,ERZ869907,assembly,5.0,Illumina HiSeq 4000,MGYS00005435,PRJEB32216,EMG produced TPA metagenomics assembly of the PRJNA472060 data set (Reclaimed water Metagenome).,5,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00579310,SRS3323772,ERZ869921,assembly,5.0,Illumina HiSeq 4000,MGYS00005435,PRJEB32216,EMG produced TPA metagenomics assembly of the PRJNA472060 data set (Reclaimed water Metagenome).,5,EMG,root:Engineered:Wastewater:Water and sludge
