study_id,study_name,bioproject,centre_name,n_samples,biomes,experiment_type,pipeline_version,instrument_platform
MGYS00005614,EMG produced TPA metagenomics assembly of PRJEB34410 data set (Secrets of the hospital underbelly: abundance of antimicrobial resistance genes in hospital wastewater reflects hospital antimicrobial use and inpatient length of stay).,PRJEB39978,EMG,8,root:Engineered:Wastewater,assembly,5.0,Illumina HiSeq 4000
MGYS00005435,EMG produced TPA metagenomics assembly of the PRJNA472060 data set (Reclaimed water Metagenome).,PRJEB32216,EMG,5,root:Engineered:Wastewater:Water and sludge,assembly,5.0,Illumina HiSeq 4000
MGYS00005769,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,PRJEB42552,EMG,11,root:Engineered:Wastewater:Water and sludge,assembly,5.0,MinION
MGYS00005802,EMG produced TPA metagenomics assembly of PRJEB8087 data set (Metagenomes of Danish EBPR WWTPs).,PRJEB43967,EMG,6,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge,assembly,5.0,Illumina HiSeq 2000
MGYS00005846,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,PRJEB47494,EMG,110,root:Engineered:Wastewater:Water and sludge,assembly,5.0,Illumina HiSeq 3000
MGYS00002316,EMG produced TPA metagenomics assembly of the Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from China - AD_SCU002_MetaG metagenome (activated sludge metagenome) data set.,PRJEB24109,EMBL-EBI,1,root:Engineered:Wastewater:Industrial wastewater,assembly,4.1,Illumina HiSeq 2500
MGYS00002383,Antibiotic manufacturing effluent enriches resistance genes and alter the structure of microbial communities,PRJEB26809,UNIVERSITY OF GOTHENBURG,6,root:Engineered:Wastewater:Activated Sludge,metagenomic,4.1,Illumina HiSeq 2500
MGYS00001910,The influence of sludge retention time on the  expressed functional diversity of and biotransformation rates of micropollutants performed by a community originating from wastewater activated sludge,PRJEB22087,EAWAG,170,root:Engineered:Wastewater:Activated Sludge,metatranscriptomic,4.1,NextSeq 500
MGYS00003139,Global surveillance of antimicrobial resistance - Batch June 2017,PRJEB27621,DTU-GE,181,root:Engineered:Wastewater,metagenomic,4.1,Illumina NovaSeq 6000
MGYS00001312,Global surveillance of infectious diseases and antimicrobial resistance from sewage,PRJEB13831,DTU-GE,179,root:Engineered:Wastewater:Water and sludge,metagenomic,4.1,Illumina HiSeq 3000
MGYS00003379,EMG produced TPA metagenomics assembly of the Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC028_MetaG metagenome (activated sludge metagenome) data set.,PRJEB28884,EMG,1,root:Engineered:Wastewater:Activated Sludge,assembly,4.1,Illumina HiSeq 2500
MGYS00003380,EMG produced TPA metagenomics assembly of the Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC048_MetaG metagenome (activated sludge metagenome) data set.,PRJEB28885,EMG,1,root:Engineered:Wastewater:Activated Sludge,assembly,4.1,Illumina HiSeq 2500
