sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids
ERS1107870,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920736,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352952;ERR1352951
ERS1107871,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920737,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352953;ERR1352954
ERS1107872,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920738,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352955;ERR1352956
ERS1107873,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920739,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352957;ERR1352958
ERS1107874,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920740,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352959;ERR1352960
ERS1107875,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920741,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352962;ERR1352961
ERS1107846,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920712,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352903;ERR1352904
ERS1107847,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920713,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352906;ERR1352905
ERS1107848,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920714,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352907;ERR1352908
ERS1107849,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920715,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352909;ERR1352910
ERS1107860,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920726,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352932;ERR1352931
ERS1107861,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920727,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352934;ERR1352933
ERS1107862,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920728,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352935;ERR1352936
ERS1107863,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920729,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352937;ERR1352938
ERS1107864,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920730,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352940;ERR1352939
ERS1107865,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920731,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352942;ERR1352941
ERS1107866,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920732,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352944;ERR1352943
ERS1107867,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920733,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352946;ERR1352945
ERS1107850,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920716,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352911;ERR1352912
ERS1107851,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920717,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352914;ERR1352913
ERS1107858,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920724,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352928;ERR1352927
ERS1107859,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920725,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352929;ERR1352930
ERS1107868,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920734,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352948;ERR1352947
ERS1107869,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920735,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352949;ERR1352950
ERS1107852,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920718,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352915;ERR1352916
ERS1107853,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920719,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352918;ERR1352917
ERS1107854,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920720,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352920;ERR1352919
ERS1107855,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920721,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352922;ERR1352921
ERS1107856,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920722,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352924;ERR1352923
ERS1107857,Processed metagenomic and transcriptomic activated sludge samples,SAMEA3920723,Processed metagenomic and transcriptomic activated sludge samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1352925;ERR1352926
