sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids
ERS1162588,SWESTP59,SAMEA3991478,Uppsala-primary/surplus 201,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sludge,ERR1414267
ERS1162592,SWESTP63,SAMEA3991482,Kappala-primary 226,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414271
ERS1162586,SWESTP57,SAMEA3991476,Uppsala-treated 169,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414265
ERS1162530,Uppsala-primary/surplus 102,SAMEA3991420,Uppsala-primary/surplus 102,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sludge,ERR1414209
ERS1162531,Uppsala-primary/surplus 103,SAMEA3991421,Uppsala-primary/surplus 103,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sludge,ERR1414210
ERS1162532,Uppsala-primary/surplus 104,SAMEA3991422,Uppsala-primary/surplus 104,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sludge,ERR1414211
ERS1162533,Uppsala-surplus 105,SAMEA3991423,Uppsala-surplus 105,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,activated sludge,ERR1414212
ERS1162534,Uppsala-surplus 106,SAMEA3991424,Uppsala-surplus 106,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,activated sludge,ERR1414213
ERS1162535,Uppsala-surplus 107,SAMEA3991425,Uppsala-surplus 107,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,activated sludge,ERR1414214
ERS1162536,Uppsala-surplus 108,SAMEA3991426,Uppsala-surplus 108,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,activated sludge,ERR1414215
ERS1162537,Uppsala-digested 109,SAMEA3991427,Uppsala-digested 109,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,biosolids,ERR1414216
ERS1162538,Uppsala-digested 110,SAMEA3991428,Uppsala-digested 110,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,biosolids,ERR1414217
ERS1162539,Uppsala-digested 111,SAMEA3991429,Uppsala-digested 111,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,biosolids,ERR1414218
ERS1162540,Uppsala-digested 112,SAMEA3991430,Uppsala-digested 112,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,biosolids,ERR1414219
ERS1162541,Kappala-digested 113,SAMEA3991431,Kappala-digested 113,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,biosolids,ERR1414220
