sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS2520896,CAN-22a_3,SAMEA4700727,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",51.0131,-114.0246,,,,,ERZ3455818,MGYS00005846
ERS2520864,AUS-18_1,SAMEA4700695,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-35.2464,148.9698,,,,,ERZ3455794,MGYS00005846
ERS2520871,AUS-18a_4,SAMEA4700702,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-37.9768,144.6383,,,,,ERZ3455798,MGYS00005846
ERS2520873,AUS-18,SAMEA4700704,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-35.2464,148.9698,,,,,ERZ3455802,MGYS00005846
ERS2520885,BRA-53a_2,SAMEA4700716,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-1.3567,-48.4454,,,,,ERZ3455814,MGYS00005846
ERS2520900,CAN-22b_2,SAMEA4700731,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",43.6336,-79.4794,,,,,ERZ3455822,MGYS00005846
ERS2520908,CHE-67_3,SAMEA4700739,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455826,MGYS00005846
ERS2520937,ESP-75,SAMEA4700768,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.4098,2.2228,,,,,ERZ3455854,MGYS00005846
ERS2520866,AUS-18_3,SAMEA4700697,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-35.2464,148.9698,,,,,ERZ3455795,MGYS00005846
ERS2520879,BGR-66_2,SAMEA4700710,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",42.7507,23.3648,,,,,ERZ3455805,MGYS00005846
ERS2520869,AUS-18a_2,SAMEA4700700,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-37.9768,144.6383,,,,,ERZ3455806,MGYS00005846
ERS2520876,AUT-70_3,SAMEA4700707,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",48.174,16.4632,,,,,ERZ3455810,MGYS00005846
ERS2520883,BRA-53_2,SAMEA4700714,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-19.8957,-43.8791,,,,,ERZ3455811,MGYS00005846
ERS2520897,CAN-22a_4,SAMEA4700728,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",51.0131,-114.0246,,,,,ERZ3455821,MGYS00005846
ERS2520907,CHE-67_2,SAMEA4700738,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455827,MGYS00005846
ERS2520901,CAN-22b_3,SAMEA4700732,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",43.6336,-79.4794,,,,,ERZ3455830,MGYS00005846
ERS2520891,BWA-19,SAMEA4700722,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-24.6119,25.9647,,,,,ERZ3455834,MGYS00005846
ERS2520910,CHE-67_5,SAMEA4700741,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455837,MGYS00005846
ERS2520919,CZE-23_2,SAMEA4700750,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",50.1138,14.4001,,,,,ERZ3455842,MGYS00005846
ERS2520872,AUS-18a,SAMEA4700703,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-37.9768,144.6383,,,,,ERZ3455796,MGYS00005846
ERS2520867,AUS-18_4,SAMEA4700698,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-35.2464,148.9698,,,,,ERZ3455800,MGYS00005846
ERS2520881,BGR-66,SAMEA4700712,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",42.7507,23.3648,,,,,ERZ3455816,MGYS00005846
ERS2520894,CAN-22a_1,SAMEA4700725,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",51.0131,-114.0246,,,,,ERZ3455817,MGYS00005846
ERS2520899,CAN-22b_1,SAMEA4700730,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",43.6336,-79.4794,,,,,ERZ3455824,MGYS00005846
ERS2520890,BWA-19_3,SAMEA4700721,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-24.6119,25.9647,,,,,ERZ3455832,MGYS00005846
ERS2520911,CHE-67_6,SAMEA4700742,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455839,MGYS00005846
ERS2520929,ECU-14a_1,SAMEA4700760,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-0.9079,-89.603,,,,,ERZ3455849,MGYS00005846
