sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS1048982,AOBNOB1,SAMEA3861848,AOBNOB1,,,Australia,Wastewater,Activated Sludge,Reactor,ERR1233629,MGYS00000606
ERS1545891,MP_reactors,SAMEA80832418,MP_reactors,50.9,4.7,Belgium,anaerobic reactor,mesophilic anaerobic reactor,wastewater,ERR1823510,MGYS00001453
ERS1545892,MP_reactors,SAMEA80833168,MP_reactors,50.9,4.7,Belgium,anaerobic reactor,mesophilic anaerobic reactor,wastewater,ERR1823511,MGYS00001453
ERS1545893,MP_reactors,SAMEA80833918,MP_reactors,50.9,4.7,Belgium,anaerobic reactor,mesophilic anaerobic reactor,wastewater,ERR1823512,MGYS00001453
ERS1833119,b2forensics1,SAMEA104174101,wastewater sample collected on november 1st 2016,48.698,2.1795,France,,,,ERR2041951,MGYS00001903
ERS2597319,DTU2017_MG_100_EC_GA,SAMEA4777371,DTU2017_MG_100_EC_GA,-0.908,-89.6029,Ecuador,,,,ERR2683114,MGYS00003139
ERS2597320,DTU2017_MG_101_MW_KA,SAMEA4777372,DTU2017_MG_101_MW_KA,-13.051,33.8039,Malawi,,,,ERR2683115,MGYS00003139
ERS2597323,DTU2017_MG_104_MW_BL,SAMEA4777375,DTU2017_MG_104_MW_BL,-15.4703,35.02,Malawi,,,,ERR2683118,MGYS00003139
ERS2597326,DTU2017_MG_107_NG_IL_a,SAMEA4777378,DTU2017_MG_107_NG_IL_a,8.4804,4.6739,Nigeria,,,,ERR2683121,MGYS00003139
ERS2597329,DTU2017_MG_110_NG_IL_d,SAMEA4777381,DTU2017_MG_110_NG_IL_d,8.4808,4.672,Nigeria,,,,ERR2683124,MGYS00003139
ERS2597333,DTU2017_MG_114_NG_IB_a,SAMEA4777385,DTU2017_MG_114_NG_IB_a,7.4419,3.8966,Nigeria,,,,ERR2683128,MGYS00003139
ERS2597334,DTU2017_MG_115_NG_IB_b,SAMEA4777386,DTU2017_MG_115_NG_IB_b,7.4419,3.8966,Nigeria,,,,ERR2683129,MGYS00003139
ERS2597338,DTU2017_MG_119_NI_MS,SAMEA4777390,DTU2017_MG_119_NI_MS,11.9842,-86.1056,Nicaragua,,,,ERR2683133,MGYS00003139
ERS2597341,DTU2017_MG_121_EE_TA,SAMEA4777393,DTU2017_MG_121_EE_TA,58.34,26.7372,Estonia,,,,ERR2683136,MGYS00003139
ERS2597342,DTU2017_MG_122_EE_TL,SAMEA4777394,DTU2017_MG_122_EE_TL,59.466,24.7022,Estonia,,,,ERR2683137,MGYS00003139
ERS2597343,DTU2017_MG_123_EE_PR,SAMEA4777395,DTU2017_MG_123_EE_PR,58.3871,24.4537,Estonia,,,,ERR2683138,MGYS00003139
